TimeElapsed,optimgain,TimestepsSoFar,entloss,ev_tdlam_before,meankl,EpLenMean,EpRewMean,entropy,EpTrueRewMean,EpisodesSoFar,EpThisIter,surrgain
721.0428433418274,0.2842956,326688,0.0,0.8223904669284821,0.012295607,85.65,62.44383,23.441648,425.00005236354565,1676,11,0.2842956
727.6997408866882,0.2523892,329775,0.0,0.8040949404239655,0.012786098,82.075,59.434406,23.443602,406.6780424276103,1688,12,0.2523892
734.5157961845398,0.25218117,332934,0.0,0.8585535734891891,0.012254909,85.225,61.907604,23.444643,423.3758853449302,1700,12,0.25218117
741.308096408844,0.26331267,335979,0.0,0.823278546333313,0.012602512,80.95,58.39953,23.445292,403.285019392319,1714,14,0.26331267
748.0239708423615,0.27682042,339069,0.0,0.7909845113754272,0.013099515,83.925,62.383728,23.435972,416.257984386309,1725,11,0.27682042
754.8136048316956,0.24975556,342144,0.0,0.8702118694782257,0.013373305,86.45,63.402283,23.431623,430.4867415321969,1736,11,0.24975556
761.6403305530548,0.28339943,345195,0.0,0.8149032890796661,0.0126292175,90.1,70.20592,23.430258,447.1256845604199,1746,10,0.28339943
768.376336812973,0.263888,348150,0.0,0.8983687534928322,0.013062079,93.675,71.09879,23.42293,462.6922099188141,1757,11,0.263888
775.1563544273376,0.16077942,351060,0.0,0.8205393105745316,0.003822369,92.75,67.93352,23.41308,459.40218345712384,1768,11,0.16077942
781.9297726154327,0.24819198,354066,0.0,0.8367053866386414,0.012307537,90.95,66.35103,23.403742,451.3899796042066,1779,11,0.24819198
788.7578661441803,0.29603013,356901,0.0,0.8546369224786758,0.012273558,89.0,63.77285,23.404219,442.6166364743247,1790,11,0.29603013
795.4933795928955,0.28656408,359952,0.0,0.8539980947971344,0.013998705,88.625,62.59308,23.396894,439.34903028989413,1802,12,0.28656408
802.1882932186127,0.25475022,363051,0.0,0.8411664515733719,0.012084987,90.45,63.79544,23.39968,449.5286776166996,1812,10,0.25475022
808.9787585735321,0.2636841,366039,0.0,0.8037564754486084,0.01305253,90.0,64.769066,23.400637,451.9017963941771,1824,12,0.2636841
