TimestepsSoFar,entloss,optimgain,EpisodesSoFar,ev_tdlam_before,meankl,EpRewMean,EpLenMean,EpThisIter,TimeElapsed,surrgain,EpTrueRewMean,entropy
79740,0.0,0.0657432,133,0.8323892802000046,0.0064061265,73.40707,468.15,3,725.3744111061096,0.0657432,723.8012899595096,3.8912375
82977,0.0,0.066639245,137,0.8700129687786102,0.0069201607,75.736694,471.925,4,751.158447265625,0.066639245,753.9546688971554,3.876103
86070,0.0,0.060982257,142,0.7997888028621674,0.007271773,72.63043,447.8,5,775.0565693378448,0.060982257,744.9068034446357,3.8554006
89052,0.0,0.06529687,145,0.8849051371216774,0.0067724353,74.51783,427.3,3,801.3447065353394,0.06529687,754.0156176213447,3.8478694
92331,0.0,0.06530788,149,0.8441110998392105,0.0075905216,77.390915,401.175,4,825.2881562709808,0.06530788,762.9796096667649,3.839827
95982,0.0,0.059645463,153,0.9411821514368057,0.007224112,78.836266,343.9,4,851.5140733718872,0.059645463,741.3038041366312,3.8235147
98970,0.0,0.054950744,156,0.9225223585963249,0.0068576634,81.41788,308.2,3,875.4171848297119,0.054950744,734.5315853700538,3.805998
101511,0.0,0.068473816,158,0.940784614533186,0.00755548,86.00604,317.75,2,901.2895050048828,0.068473816,772.7416462536976,3.7897112
104913,0.0,0.060449265,162,0.9464883096516132,0.008068001,84.78209,295.575,4,925.3858697414398,0.060449265,767.1955517415445,3.7660906
107478,0.0,0.07445788,164,0.9141709208488464,0.007747428,89.53206,304.875,2,951.7464647293091,0.07445788,807.5561246969304,3.7700906
111342,0.0,0.06779762,168,0.9084642678499222,0.007865783,90.394554,300.5,4,975.4547827243805,0.06779762,822.261858342136,3.763327
114516,0.0,0.060422976,170,0.9400168657302856,0.008059449,96.876205,314.6,2,1001.6995499134064,0.060422976,871.155239592915,3.7843668
118344,0.0,0.047957916,174,0.8271631747484207,0.007689714,99.165405,314.65,4,1026.0472526550293,0.047957916,890.5453716385513,3.784254
120378,0.0,0.058686294,177,0.8802016153931618,0.006930504,99.95317,311.675,3,1051.4852011203766,0.058686294,894.426531073145,3.7869763
123786,0.0,0.049763914,180,0.6894032955169678,0.007225019,107.72185,326.325,3,1075.724988937378,0.049763914,942.4783000952424,3.7814672
127485,0.0,0.059526492,183,0.9473614729940891,0.008088263,115.4871,338.2,3,1101.5558757781982,0.059526492,986.2748595803366,3.7941017
130998,0.0,0.059045635,185,0.8817382305860519,0.0077863573,120.589645,349.55,2,1126.1418797969818,0.059045635,1021.706249824079,3.7681699
133806,0.0,0.06507056,187,0.9281350523233414,0.007828271,127.42544,360.425,2,1151.3794963359833,0.06507056,1065.085926680061,3.7521684
136437,0.0,0.04932782,191,0.5594677925109863,0.0073723285,124.07936,350.225,4,1176.2559123039246,0.04932782,1034.1187560521157,3.744318
139437,0.0,0.06356937,192,0.8250904381275177,0.008727827,131.39938,368.65,1,1201.1907246112823,0.06356937,1093.3447076436241,3.728407
142437,0.0,0.053902254,193,0.6857384443283081,0.007315888,137.64326,387.125,1,1226.3429379463196,0.053902254,1150.9439188834604,3.7164726
