TimestepsSoFar,EpLenMean,EpTrueRewMean,ev_tdlam_before,meankl,EpThisIter,EpRewMean,EpisodesSoFar,entloss,optimgain,TimeElapsed,entropy,surrgain
597555,728.15,2023.926395087296,0.9655486345291138,0.01071802,1,2023.926395087296,604,0.0,0.06999152,709.5491831302643,2.912223,0.06999152
601179,732.125,2036.4102035301487,0.9543720111250877,0.011120877,2,2036.4102035301487,606,0.0,0.067707784,713.0740630626678,2.8952968,0.067707784
604179,744.825,2074.224851165434,-0.18148565292358398,0.009425164,1,2074.224851165434,607,0.0,0.040210046,716.6409792900085,2.9082556,0.040210046
608835,741.95,2073.6026003713923,0.8441885858774185,0.010889263,2,2073.6026003713923,609,0.0,0.06453398,720.3457086086273,2.8799665,0.06453398
611589,746.425,2088.8382810841103,0.9484195113182068,0.012342475,1,2088.8382810841103,610,0.0,0.06240768,723.9363391399384,2.9455788,0.06240768
614589,759.15,2123.094096442005,0.09293901920318604,0.008794253,1,2123.094096442005,611,0.0,0.053959828,727.4848504066467,2.9771416,0.053959828
616224,761.15,2130.9950652177076,0.8982204720377922,0.011093128,1,2130.9950652177076,612,0.0,0.063244864,731.0918517112732,2.9548872,0.063244864
619224,761.15,2127.324342386803,-0.005841732025146484,0.008889079,1,2127.324342386803,613,0.0,0.041070487,734.5616419315338,3.0262966,0.041070487
622224,771.825,2155.054856750264,0.02035808563232422,0.009676724,1,2155.054856750264,614,0.0,0.049573597,738.0554594993591,3.0582352,0.049573597
628224,774.025,2153.3056394609275,-0.03785991668701172,0.010390546,2,2153.3056394609275,616,0.0,0.049813956,741.6587338447571,3.054924,0.049813956
631224,791.15,2200.7817007038298,-0.055494070053100586,0.01038084,1,2200.7817007038298,617,0.0,0.045043144,745.2169826030731,3.0473654,0.045043144
634224,802.575,2231.907119884498,-0.02169477939605713,0.010489482,1,2231.907119884498,618,0.0,0.040147796,748.8032515048981,3.0428493,0.040147796
637224,802.85,2237.4290976951856,-0.012251734733581543,0.009883286,1,2237.4290976951856,619,0.0,0.045687918,752.4013724327087,3.101084,0.045687918
640224,806.4,2251.1607770500423,0.023574650287628174,0.010738544,1,2251.1607770500423,620,0.0,0.047572516,755.9936962127686,3.1175764,0.047572516
643224,806.4,2252.6917329804337,-0.2777761220932007,0.009922503,1,2252.6917329804337,621,0.0,0.04800347,759.5376770496368,3.0977404,0.04800347
646224,806.4,2253.4672564516904,0.022779345512390137,0.010178123,1,2253.4672564516904,622,0.0,0.040523514,763.0911026000977,3.059571,0.040523514
647352,790.8,2208.7732707121945,-0.04536473751068115,0.00916845,1,2208.7732707121945,623,0.0,0.057346612,766.7473900318146,3.1059563,0.057346612
650352,790.8,2207.0694420827035,0.008314132690429688,0.009236619,1,2207.0694420827035,624,0.0,0.05236885,770.4361624717712,3.113401,0.05236885
653352,790.8,2205.120717763127,0.030152499675750732,0.008817664,1,2205.120717763127,625,0.0,0.052585747,773.9361124038696,3.0740275,0.052585747
655437,783.175,2185.8701368562142,0.9383043274283409,0.009409729,1,2185.8701368562142,626,0.0,0.056524046,777.5816442966461,3.134348,0.056524046
659829,785.625,2194.936580203647,0.7413532733917236,0.00902717,2,2194.936580203647,628,0.0,0.04820223,781.152886390686,3.0977995,0.04820223
662829,785.625,2195.454955644481,0.0740199089050293,0.009742575,1,2195.454955644481,629,0.0,0.04620888,784.8059866428375,3.0811486,0.04620888
665829,804.9,2250.373579395458,0.001354515552520752,0.0111730285,1,2250.373579395458,630,0.0,0.048613265,788.3840930461884,3.0476096,0.048613265
668829,817.725,2288.4299595378943,-0.1858903169631958,0.011748091,1,2288.4299595378943,631,0.0,0.044281784,791.9650022983551,3.0503747,0.044281784
671829,833.1,2334.990798832759,0.5851672291755676,0.009069965,1,2334.990798832759,632,0.0,0.04711153,795.5709488391876,3.076783,0.04711153
674829,833.1,2339.693417847591,0.005916178226470947,0.009136726,1,2339.693417847591,633,0.0,0.043141276,799.1048312187195,3.0944726,0.043141276
677829,849.0,2389.305934534873,0.047171711921691895,0.010896083,1,2389.305934534873,634,0.0,0.04469862,802.6830837726593,3.0956109,0.04469862
681231,837.675,2352.0378081696485,0.00177842378616333,0.009553749,2,2352.0378081696485,636,0.0,0.056891695,806.1613776683807,3.1288683,0.056891695
684231,854.825,2396.0904163065634,0.004038035869598389,0.009367352,1,2396.0904163065634,637,0.0,0.0446008,809.7513258457184,3.1455903,0.0446008
687231,869.55,2437.050238387534,0.011822819709777832,0.009322693,1,2437.050238387534,638,0.0,0.04073383,813.4268319606781,3.1125774,0.04073383
690231,878.175,2465.7511326388003,0.060714662075042725,0.008575541,1,2465.7511326388003,639,0.0,0.04096771,817.2293884754181,3.1571746,0.04096771
693231,878.175,2466.8659142451297,0.043779075145721436,0.009800801,1,2466.8659142451297,640,0.0,0.04054475,821.0314605236053,3.2076793,0.04054475
