EpThisIter,meankl,EpisodesSoFar,EpTrueRewMean,surrgain,EpRewMean,entloss,EpLenMean,TimestepsSoFar,ev_tdlam_before,TimeElapsed,entropy,optimgain
10,0.014191148,2497,510.1430106617061,0.27538323,17.07346,0.0,96.775,567675,0.8717629611492157,5335.678770303726,23.107515,0.27538323
11,0.013691534,2508,510.71793337790996,0.28161198,16.296406,0.0,97.25,570726,0.831771656870842,5364.157508134842,23.112232,0.28161198
10,0.014419596,2518,518.5285841601618,0.2831887,16.714294,0.0,97.75,573741,0.8382537811994553,5391.346333742142,23.112003,0.2831887
9,0.014658207,2527,537.9580873724639,0.36504897,17.109394,0.0,102.025,576720,0.7675645649433136,5420.450984954834,23.114334,0.36504897
11,0.01327059,2538,511.94947302464897,0.24992248,16.375147,0.0,97.975,579678,0.8418797552585602,5447.2162482738495,23.109688,0.24992248
12,0.01400876,2550,505.7370337329836,0.33269897,15.774263,0.0,96.5,582867,0.7843528538942337,5476.475511074066,23.10704,0.33269897
11,0.01444054,2561,499.4119837695083,0.30711457,15.458316,0.0,95.025,585909,0.7365835011005402,5504.85809969902,23.108751,0.30711457
12,0.014801122,2573,469.18035165564106,0.35514003,15.167076,0.0,88.075,589080,0.5951436161994934,5533.064581394196,23.107164,0.35514003
10,0.013611769,2583,488.21151919878014,0.2692023,15.326408,0.0,91.875,592017,0.7819977849721909,5561.659396648407,23.107042,0.2692023
9,0.013260667,2592,505.1546389312258,0.29902348,16.531113,0.0,94.575,594807,0.7540699988603592,5589.197817564011,23.108932,0.29902348
11,0.0038771485,2603,496.88778607755614,0.14204268,16.60947,0.0,94.25,597945,0.731205552816391,5618.356850862503,23.107985,0.14204268
9,0.003858601,2612,523.6116510516869,0.14359151,17.150614,0.0,99.85,600810,0.8443932980298996,5645.9276785850525,23.11215,0.14359151
10,0.003768575,2622,529.5073895666821,0.16059673,17.68546,0.0,99.825,603756,0.8316289782524109,5674.015680074692,23.10472,0.16059673
11,0.0149928145,2633,529.2154012444613,0.2752514,17.535,0.0,100.65,607224,0.8513128310441971,5701.900299787521,23.104675,0.2752514
11,0.013638152,2644,524.1510886121741,0.28113648,16.664242,0.0,99.45,610137,0.8458834588527679,5730.893541812897,23.103071,0.28113648
10,0.0038163592,2654,515.0832063097773,0.14960197,16.703745,0.0,98.05,613236,0.7506535649299622,5758.347352027893,23.104708,0.14960197
11,0.013870614,2665,502.6683657453003,0.26724198,16.187475,0.0,96.025,616389,0.798822820186615,5787.411772966385,23.10017,0.26724198
11,0.013279881,2676,506.32086151891343,0.27158642,16.907003,0.0,97.25,619593,0.8534499108791351,5816.28037238121,23.108215,0.27158642
11,0.013565806,2687,506.4461839589785,0.29276112,17.474966,0.0,96.05,622740,0.8357751816511154,5844.3810975551605,23.104856,0.29276112
12,0.0038564363,2699,497.8292892785927,0.13588284,16.551071,0.0,94.625,625938,0.8798493295907974,5873.241079330444,23.101698,0.13588284
9,0.013887642,2708,505.6108054764236,0.308416,16.702768,0.0,95.875,628713,0.7623417973518372,5900.749120950699,23.103487,0.308416
10,0.013853249,2718,510.77993943343665,0.35725015,16.70726,0.0,98.425,631890,0.7239145338535309,5929.408176422119,23.09924,0.35725015
11,0.0132095255,2729,495.0082113912632,0.26722565,16.16537,0.0,96.95,634902,0.8304354250431061,5957.563866853714,23.093386,0.26722565
11,0.013042145,2740,493.8472598961516,0.24874458,15.585538,0.0,98.325,638013,0.7466768324375153,5985.340913295746,23.095718,0.24874458
9,0.013239114,2749,494.1261233810684,0.24310635,15.543623,0.0,99.1,640983,0.7071435451507568,6013.48658156395,23.100307,0.24310635
10,0.013182094,2759,510.6557302072516,0.27901003,16.005123,0.0,100.375,644211,0.8429054915904999,6042.2077667713165,23.086208,0.27901003
