EpisodesSoFar,TimestepsSoFar,surrgain,EpLenMean,optimgain,EpTrueRewMean,EpThisIter,entloss,entropy,ev_tdlam_before,EpRewMean,TimeElapsed,meankl
467,358971,0.089621395,656.375,0.089621395,1789.891058699855,1,0.0,7.2745233,0.32866501808166504,1789.891058699855,493.1366374492645,0.008398909
469,364347,0.090785675,658.75,0.090785675,1798.6460886293157,2,0.0,7.2684336,0.5312636494636536,1798.6460886293157,497.27202224731445,0.008279588
470,367269,0.09304451,663.2,0.09304451,1817.1238306519313,1,0.0,7.258484,0.9154645279049873,1817.1238306519313,501.3298201560974,0.009741876
471,370269,0.08759728,664.475,0.08759728,1809.6214739415318,1,0.0,7.247193,0.6161996424198151,1809.6214739415318,505.3859624862671,0.009317084
473,375396,0.083991535,657.2,0.083991535,1812.0394702555081,2,0.0,7.238237,0.5185308754444122,1812.0394702555081,509.53656339645386,0.008464422
474,376341,0.087307125,653.95,0.087307125,1798.8325685554544,1,0.0,7.217839,0.8426702618598938,1798.8325685554544,513.6126399040222,0.007678247
477,381069,0.10990216,628.65,0.10990216,1721.8006882941631,3,0.0,7.202043,0.890769399702549,1721.8006882941631,517.6212909221649,0.008663841
478,383079,0.09096223,623.125,0.09096223,1698.0409949206824,1,0.0,7.2140536,0.8220033943653107,1698.0409949206824,521.7122104167938,0.008438109
480,386985,0.10693538,612.625,0.10693538,1660.4162440207758,2,0.0,7.204881,0.8456512242555618,1660.4162440207758,525.7066702842712,0.008727811
481,389985,0.08835175,623.475,0.08835175,1691.320169348149,1,0.0,7.1920733,0.09595084190368652,1691.320169348149,529.712751865387,0.008673793
483,393171,0.07629011,622.275,0.07629011,1677.6956898418816,2,0.0,7.1503286,0.9201419055461884,1677.6956898418816,533.8002517223358,0.009845117
484,396171,0.08797896,634.325,0.08797896,1704.5890845079484,1,0.0,7.138,0.08924031257629395,1704.5890845079484,537.8360486030579,0.008490068
486,399810,0.12985039,654.05,0.12985039,1758.0922883766682,2,0.0,7.1346307,0.722623735666275,1758.0922883766682,541.8633329868317,0.0102657555
488,403818,0.07228792,662.15,0.07228792,1773.2557899775443,2,0.0,7.175004,0.6843508780002594,1773.2557899775443,545.9874737262726,0.008875607
490,407442,0.09474813,655.375,0.09474813,1747.4008445054765,2,0.0,7.176514,0.7041184306144714,1747.4008445054765,549.8983201980591,0.0085562235
491,410442,0.08935732,665.575,0.08935732,1777.365237526857,1,0.0,7.180677,0.7640284448862076,1777.365237526857,553.8318607807159,0.008501947
493,414354,0.07786013,681.225,0.07786013,1834.8224928132743,2,0.0,7.1975265,0.7545819580554962,1834.8224928132743,557.826254606247,0.009702516
