TimestepsSoFar,meankl,optimgain,ev_tdlam_before,EpRewMean,surrgain,EpThisIter,entloss,EpisodesSoFar,TimeElapsed,entropy,EpTrueRewMean,EpLenMean
842589,0.0044078184,0.16803992,0.7897977530956268,62.26106,0.16803992,11,0.0,3442,1808.8336763381958,23.240984,491.8628107679733,97.9
845826,0.004174655,0.15215197,0.862108588218689,65.01134,0.15215197,9,0.0,3451,1815.5830903053284,23.240484,518.6199259320912,103.325
848865,0.0037569213,0.1462746,0.9213314652442932,68.82113,0.1462746,9,0.0,3460,1822.3280119895935,23.242105,545.267884271685,107.125
851997,0.0038934639,0.15815783,0.8871976584196091,71.274704,0.15815783,10,0.0,3470,1828.96342253685,23.242353,549.5020888547346,108.1
855162,0.0041993167,0.14130487,0.8911604881286621,71.486084,0.14130487,9,0.0,3479,1835.662439584732,23.242252,564.204878152192,111.225
858390,0.0038551597,0.15455493,0.872578576207161,71.28673,0.15455493,10,0.0,3489,1842.2441070079803,23.24163,546.6714841740265,108.525
861681,0.013998333,0.26630825,0.881954088807106,70.81266,0.26630825,10,0.0,3499,1848.8874871730804,23.237566,552.2882023973582,110.325
864639,0.004004307,0.14283176,0.9118984416127205,68.41527,0.14283176,10,0.0,3509,1855.492832183838,23.235664,545.6249625473091,108.0
867681,0.0038432847,0.13720134,0.8817617669701576,67.71355,0.13720134,9,0.0,3518,1862.10182762146,23.23431,536.7002880033291,107.225
870867,0.003826968,0.14980169,0.890414796769619,64.135635,0.14980169,11,0.0,3529,1868.7240750789642,23.23649,524.0762731269645,103.975
873915,0.0041664336,0.15285559,0.8965274095535278,65.46573,0.15285559,9,0.0,3538,1875.2473471164703,23.237627,529.1697163039104,104.1
877137,0.0038656588,0.14444904,0.8530272543430328,69.279625,0.14444904,10,0.0,3548,1882.1252698898315,23.2405,544.6174006143544,107.725
880050,0.004156909,0.15915838,0.9110833331942558,66.30603,0.15915838,10,0.0,3558,1888.7549579143524,23.242758,529.659982107901,103.075
883029,0.0039181923,0.14212757,0.8989733681082726,66.7487,0.14212757,10,0.0,3568,1895.361760854721,23.240705,535.0497289130815,103.875
886065,0.0047693755,0.16277158,0.8691492974758148,65.809006,0.16277158,9,0.0,3577,1901.9855217933655,23.238775,530.5604277344486,103.375
888819,0.004438587,0.15021479,0.864277571439743,66.37228,0.15021479,8,0.0,3585,1908.5635561943054,23.238298,528.4394158057373,103.025
891987,0.014588388,0.2943464,0.8339177221059799,73.221,0.2943464,8,0.0,3593,1915.3156490325928,23.234613,567.7935762615939,111.8
895233,0.0038452279,0.14603084,0.8845147714018822,75.5178,0.14603084,9,0.0,3602,1921.973368883133,23.237307,584.2732423559692,115.9
898290,0.003921861,0.14357504,0.8875243067741394,75.48684,0.14357504,10,0.0,3612,1928.530773639679,23.237873,587.4412521635805,116.325
901083,0.0042923377,0.14356911,0.8702970892190933,72.8589,0.14356911,10,0.0,3622,1935.1091785430908,23.234861,563.3933074669787,111.4
904197,0.0040279496,0.14895402,0.7741633951663971,71.16717,0.14895402,9,0.0,3631,1941.801015138626,23.235346,554.7287083186127,108.15
907314,0.0037820756,0.15480143,0.8620471805334091,68.90484,0.15480143,9,0.0,3640,1948.4845294952393,23.236998,542.7918816562969,105.925
910392,0.0038523315,0.14969477,0.925831601023674,67.65155,0.14969477,11,0.0,3651,1955.0837280750275,23.232504,529.5042792400121,102.975
913353,0.0042932397,0.1414958,0.876312218606472,66.32012,0.1414958,9,0.0,3660,1961.6285235881805,23.232843,546.5385729007342,106.775
916059,0.0039669843,0.15783581,0.8987244144082069,67.946976,0.15783581,8,0.0,3668,1968.3071854114532,23.2312,565.245585428537,110.325
