entropy,optimgain,TimestepsSoFar,EpThisIter,EpTrueRewMean,EpisodesSoFar,TimeElapsed,surrgain,entloss,EpLenMean,ev_tdlam_before,EpRewMean,meankl
7.839981,0.107277475,434946,1,1434.26612394933,504,885.7500433921814,0.107277475,0.0,689.95,0.8858570531010628,1434.26612394933,0.007839196
7.8265953,0.12067804,437745,1,1434.3930271084678,505,892.0744709968567,0.12067804,0.0,693.5,0.9007759392261505,1434.3930271084678,0.008474292
7.803829,0.06783922,440745,1,1426.528281272564,506,898.4056525230408,0.06783922,0.0,693.5,0.08691233396530151,1426.528281272564,0.008001173
7.807739,0.08299741,443745,1,1427.2552485571425,507,904.6814515590668,0.08299741,0.0,698.325,-0.1413339376449585,1427.2552485571425,0.0077105286
7.7878566,0.174492,446337,1,1453.1832437312642,508,910.9269030094147,0.174492,0.0,708.575,0.5392966568470001,1453.1832437312642,0.009981238
7.788087,0.10856153,449334,1,1457.9837457641852,509,917.2038238048553,0.10856153,0.0,709.5,0.8556820005178452,1457.9837457641852,0.008047039
7.78798,0.08489439,451644,1,1487.4401297865174,510,923.4605252742767,0.08489439,0.0,722.775,0.055342912673950195,1487.4401297865174,0.00732525
7.765441,0.087835245,455691,2,1491.1546265112122,512,929.6960091590881,0.087835245,0.0,724.975,0.4048195481300354,1491.1546265112122,0.008497722
7.7595944,0.0880696,459810,2,1477.2451699435323,514,935.9232966899872,0.0880696,0.0,720.275,0.5218612849712372,1477.2451699435323,0.0073625995
7.7653813,0.09903078,463905,2,1472.4254391467493,516,942.1764521598816,0.09903078,0.0,724.4,0.8969349935650826,1472.4254391467493,0.008768245
7.7756386,0.08479799,466905,1,1482.0070268135519,517,948.3992710113525,0.08479799,0.0,726.525,0.03175246715545654,1482.0070268135519,0.0076228436
7.77808,0.12709233,469650,1,1481.1442061573337,518,954.6141328811646,0.12709233,0.0,724.4,0.8253851383924484,1481.1442061573337,0.008555837
7.773988,0.09043333,472650,1,1496.8738933808058,519,960.8095877170563,0.09043333,0.0,731.525,0.12075197696685791,1496.8738933808058,0.007326316
7.771533,0.13659367,475947,2,1481.0712573689468,521,967.0158743858337,0.13659367,0.0,730.2,0.9533938989043236,1481.0712573689468,0.008731482
7.789855,0.15685889,476712,1,1459.3257711965623,522,973.2120525836945,0.15685889,0.0,721.825,0.6833794414997101,1459.3257711965623,0.008546637
7.7807155,0.081874534,479712,1,1452.7692202259743,523,979.462363243103,0.081874534,0.0,721.825,0.0780302882194519,1452.7692202259743,0.0072713275
7.778446,0.09095327,484200,2,1450.468175024402,525,985.7071974277496,0.09095327,0.0,714.675,0.6562848687171936,1450.468175024402,0.007910577
7.7842894,0.107574105,487824,2,1428.9704868827273,527,991.9707310199738,0.107574105,0.0,695.55,0.8604412525892258,1428.9704868827273,0.008485105
7.8032346,0.109869674,492663,2,1446.0016105810764,529,998.2464828491211,0.109869674,0.0,702.525,0.5424797534942627,1446.0016105810764,0.008092881
7.789246,0.102574795,495663,1,1459.3723613289283,530,1004.4744737148285,0.102574795,0.0,707.625,0.10325181484222412,1459.3723613289283,0.0086481385
7.788098,0.09569466,498663,1,1471.1062929526227,531,1010.695662021637,0.09569466,0.0,720.975,-0.2821544408798218,1471.1062929526227,0.0075943866
7.776551,0.12626489,501663,1,1500.163995181961,532,1016.9998362064362,0.12626489,0.0,734.975,0.6817352771759033,1500.163995181961,0.008402046
7.7659907,0.10760638,505824,2,1485.8625918151479,534,1023.2465941905975,0.10760638,0.0,730.025,0.8271040171384811,1485.8625918151479,0.007537286
7.7474985,0.13488013,509820,2,1482.6493873130246,536,1029.5035424232483,0.13488013,0.0,728.175,0.8515095710754395,1482.6493873130246,0.008519776
7.758243,0.11603424,512766,1,1546.6009708781814,537,1035.7331013679504,0.11603424,0.0,747.4,0.8766091912984848,1546.6009708781814,0.008285848
7.7751617,0.05469,515766,1,1528.3301654796292,538,1041.9629793167114,0.05469,0.0,747.4,0.14637970924377441,1528.3301654796292,0.0075775506
7.774795,0.09662091,521580,2,1581.4941151116745,540,1048.203914642334,0.09662091,0.0,775.55,0.5626713037490845,1581.4941151116745,0.008619545
7.774402,0.12497832,524073,1,1604.109528739834,541,1054.4581606388092,0.12497832,0.0,786.825,0.908056266605854,1604.109528739834,0.00839779
7.7686887,0.09751733,527073,1,1624.1988877695799,542,1060.6936101913452,0.09751733,0.0,801.45,0.00389254093170166,1624.1988877695799,0.008008147
7.771775,0.08193475,530073,1,1619.0394822457306,543,1066.9513347148895,0.08193475,0.0,801.45,0.23440688848495483,1619.0394822457306,0.007700304
7.7726927,0.08313913,533073,1,1641.045486271145,544,1073.2179489135742,0.08313913,0.0,817.725,0.27810394763946533,1641.045486271145,0.00819307
7.7589083,0.12888025,537246,2,1634.6287497478722,546,1079.5208456516266,0.12888025,0.0,804.175,0.9004941135644913,1634.6287497478722,0.008606052
7.779235,0.09801139,540246,1,1637.8631759187974,547,1085.7493643760681,0.09801139,0.0,804.175,-0.001989126205444336,1637.8631759187974,0.00894029
7.7600737,0.08359526,543246,1,1638.4660806542786,548,1092.0563161373138,0.08359526,0.0,807.575,0.17224860191345215,1638.4660806542786,0.007545041
7.761707,0.08039673,546246,1,1635.1180976552316,549,1098.310955286026,0.08039673,0.0,807.6,0.015134871006011963,1635.1180976552316,0.0075483797
7.767453,0.08885959,549246,1,1657.428186363753,550,1104.559828042984,0.08885959,0.0,813.35,0.07438933849334717,1657.428186363753,0.008279512
7.7592173,0.10763554,551766,1,1681.7065453766068,551,1110.85520362854,0.10763554,0.0,825.625,0.9028249159455299,1681.7065453766068,0.008421255
7.7512856,0.10590429,554139,1,1671.1755353957906,552,1117.0466711521149,0.10590429,0.0,820.4,0.8027185648679733,1671.1755353957906,0.008643191
7.74902,0.124044836,557139,1,1713.8767799932562,553,1123.2781448364258,0.124044836,0.0,830.95,-0.5249196290969849,1713.8767799932562,0.00844715
7.730908,0.1241619,559425,1,1715.9396427681809,554,1129.499615907669,0.1241619,0.0,830.125,0.8406869173049927,1715.9396427681809,0.008508224
7.720841,0.10727286,561648,1,1725.5460383134537,555,1135.7215530872345,0.10727286,0.0,836.075,0.32464927434921265,1725.5460383134537,0.007879019
7.713242,0.10199988,563922,1,1720.7943964978099,556,1141.9559166431427,0.10199988,0.0,833.475,0.8006481230258942,1720.7943964978099,0.008756583
7.687377,0.09327863,566922,1,1717.398464799692,557,1148.1836564540863,0.09327863,0.0,833.475,0.02489405870437622,1717.398464799692,0.008269885
7.680602,0.090685114,569922,1,1734.8766111111158,558,1154.4080202579498,0.090685114,0.0,835.6,-0.02949082851409912,1734.8766111111158,0.008433654
7.6729136,0.12578273,571371,1,1707.1337733005498,559,1160.6777245998383,0.12578273,0.0,822.675,0.920900285243988,1707.1337733005498,0.009012991
7.6744227,0.113610774,574371,1,1739.9034458419533,560,1166.9765419960022,0.113610774,0.0,831.175,-0.10711073875427246,1739.9034458419533,0.008534117
7.667171,0.108939886,575775,1,1742.5682680863567,561,1173.2756175994873,0.108939886,0.0,831.9,0.771533414721489,1742.5682680863567,0.008558504
