EpLenMean,TimestepsSoFar,EpThisIter,ev_tdlam_before,optimgain,EpisodesSoFar,TimeElapsed,meankl,entropy,surrgain,entloss,EpRewMean,EpTrueRewMean
92.775,440481,12,0.8932846784591675,0.35084188,2110,811.2274966239929,0.014591963,23.41186,0.35084188,0.0,471.9094797322994,471.9094797322994
88.6,443502,11,0.9245129004120827,0.3025247,2121,816.8712587356567,0.014463537,23.41823,0.3025247,0.0,448.12790337476616,448.12790337476616
91.175,446544,11,0.9130392149090767,0.3316995,2132,822.5777668952942,0.0141046755,23.421612,0.3316995,0.0,459.0611028101072,459.0611028101072
93.45,449574,10,0.9331799447536469,0.29130444,2142,828.2273976802826,0.014143528,23.421076,0.29130444,0.0,468.8343121455737,468.8343121455737
93.175,452538,11,0.8985729813575745,0.2686628,2153,833.939864397049,0.014387768,23.41424,0.2686628,0.0,464.6581210226915,464.6581210226915
91.525,455595,12,0.8981218338012695,0.28275788,2165,839.5674719810486,0.014133224,23.413265,0.28275788,0.0,461.58715676290905,461.58715676290905
89.675,458772,12,0.9200043305754662,0.26330832,2177,845.2021427154541,0.0148456935,23.415216,0.26330832,0.0,454.75006455463847,454.75006455463847
87.65,461790,11,0.908256471157074,0.33040065,2188,850.8592817783356,0.013663242,23.416014,0.33040065,0.0,444.1554912793521,444.1554912793521
89.975,464817,11,0.8833360150456429,0.32055718,2199,856.5966579914093,0.014083726,23.418474,0.32055718,0.0,452.28224826072136,452.28224826072136
91.5,467883,11,0.9046219810843468,0.26613545,2210,862.1952974796295,0.013295082,23.418924,0.26613545,0.0,458.8405158464696,458.8405158464696
94.05,471084,11,0.8797181397676468,0.32448924,2221,867.9391715526581,0.014756804,23.417807,0.32448924,0.0,468.9907705747588,468.9907705747588
92.925,474378,13,0.8996954783797264,0.17579989,2234,873.5684516429901,0.004208113,23.41406,0.17579989,0.0,464.59168294540194,464.59168294540194
90.95,477486,12,0.9274708703160286,0.31161845,2246,879.2621600627899,0.01378555,23.417658,0.31161845,0.0,456.24357885659293,456.24357885659293
87.525,481041,13,0.9363671988248825,0.270209,2259,885.074296951294,0.014808782,23.417486,0.270209,0.0,439.3786760196339,439.3786760196339
90.025,484197,11,0.9039647504687309,0.2829755,2270,890.7444162368774,0.0142500475,23.41805,0.2829755,0.0,451.00339521791227,451.00339521791227
90.325,487203,12,0.9167349636554718,0.14979056,2282,896.3347647190094,0.0038743564,23.420431,0.14979056,0.0,452.1658970190457,452.1658970190457
92.1,490299,10,0.8947380930185318,0.2978831,2292,901.9487040042877,0.0147093395,23.419939,0.2978831,0.0,464.54125591793854,464.54125591793854
95.55,493479,11,0.9201247468590736,0.1439383,2303,907.6310684680939,0.0038205483,23.411625,0.1439383,0.0,488.44389400261554,488.44389400261554
95.4,496737,12,0.9033693820238113,0.33337855,2315,913.2218811511993,0.014994735,23.412333,0.33337855,0.0,493.04042546325564,493.04042546325564
90.85,499656,12,0.8837839588522911,0.3162476,2327,918.9604318141937,0.014841958,23.41266,0.3162476,0.0,471.9622459412609,471.9622459412609
90.825,502809,11,0.8837344720959663,0.36507607,2338,924.5928995609283,0.014664108,23.410465,0.36507607,0.0,466.6157333755289,466.6157333755289
90.55,505845,11,0.8919239267706871,0.13822311,2349,930.2040264606476,0.0039460873,23.408686,0.13822311,0.0,457.2258508918283,457.2258508918283
88.7,508896,12,0.9234961569309235,0.26432112,2361,935.898827791214,0.014760308,23.400698,0.26432112,0.0,442.3009406957841,442.3009406957841
89.5,511953,12,0.9020184576511383,0.28074923,2373,941.6342077255249,0.014769577,23.39681,0.28074923,0.0,446.78222200250013,446.78222200250013
90.65,514812,10,0.9106363281607628,0.2974085,2383,947.2878861427307,0.014233733,23.393305,0.2974085,0.0,455.54093561685113,455.54093561685113
90.925,517812,10,0.9019631966948509,0.14140184,2393,953.02277302742,0.0038514994,23.391619,0.14140184,0.0,463.1067478994153,463.1067478994153
97.375,521007,10,0.9258263781666756,0.2956139,2403,958.8027606010437,0.014617555,23.387447,0.2956139,0.0,498.15145398751457,498.15145398751457
100.3,523989,10,0.8723579049110413,0.30407146,2413,964.72385597229,0.014517013,23.384054,0.30407146,0.0,508.98516599656807,508.98516599656807
103.2,527196,10,0.8431654870510101,0.13789974,2423,970.4557785987854,0.0039269533,23.381021,0.13789974,0.0,520.4484844746919,520.4484844746919
98.475,530349,12,0.9105101451277733,0.14145449,2435,976.1885199546814,0.0038390441,23.380682,0.14145449,0.0,497.7970690722532,497.7970690722532
96.375,533664,12,0.9307921230792999,0.1387611,2447,981.7921435832977,0.0038312853,23.379412,0.1387611,0.0,488.8369728599053,488.8369728599053
92.875,536694,10,0.9041043072938919,0.27288827,2457,987.3945701122284,0.0137925055,23.379618,0.27288827,0.0,471.33536017968163,471.33536017968163
