optimgain,EpTrueRewMean,entloss,entropy,surrgain,EpisodesSoFar,TimestepsSoFar,meankl,EpLenMean,ev_tdlam_before,EpThisIter,TimeElapsed,EpRewMean
0.064243756,488.41748618902574,0.0,8.02589,0.064243756,293,153153,0.0069719194,437.55,0.8826264292001724,4,200.92523670196533,335.0902
0.056237854,507.3713458857531,0.0,8.009781,0.056237854,295,157425,0.0066791195,439.7,0.6067883968353271,2,205.02682518959045,338.70746
0.07402459,535.320706176016,0.0,7.9719887,0.07402459,297,160302,0.007402728,452.0,0.9048890396952629,2,209.17041301727295,350.48584
0.096215844,540.3611667144849,0.0,7.952282,0.096215844,299,163806,0.0070878095,452.85,0.8926632702350616,2,213.21935749053955,350.29913
0.0988345,555.5453082010678,0.0,7.93182,0.0988345,300,166620,0.0063490723,469.625,0.8790864944458008,1,217.2681040763855,360.2059
0.089995295,578.8247483793218,0.0,7.9243045,0.089995295,302,169797,0.0063750967,476.35,0.8711616098880768,2,221.3317358493805,368.6564
0.091312855,619.5254651776928,0.0,7.9301157,0.091312855,304,173685,0.0062689157,498.3,0.9017458334565163,2,225.34902000427246,387.54083
0.076271705,634.8464061777705,0.0,7.944995,0.076271705,307,177597,0.0062787877,506.55,0.837939590215683,3,229.33349180221558,393.66437
0.07079061,651.9655644913721,0.0,7.941943,0.07079061,310,182313,0.0066916114,516.975,0.7872724235057831,3,233.39057636260986,399.1264
0.10203754,662.9019498703102,0.0,7.956372,0.10203754,312,185565,0.0066632703,511.7,0.9201728403568268,2,237.50398898124695,400.34283
0.087119885,654.7712361104393,0.0,7.9490814,0.087119885,315,188220,0.0067377985,504.45,0.8725338578224182,3,241.53303122520447,395.12433
0.09555058,672.9721773324161,0.0,7.970105,0.09555058,317,191124,0.006325081,500.425,0.9397991001605988,2,245.6888313293457,399.6959
0.086049184,682.7662100136229,0.0,7.971615,0.086049184,319,194541,0.0064863777,500.7,0.8967320322990417,2,249.79689359664917,401.73346
0.08374261,713.5482673090784,0.0,7.9560575,0.08374261,321,198774,0.006077572,504.725,0.9166592955589294,2,253.85371470451355,412.45392
0.08495641,763.5815627562021,0.0,7.941482,0.08495641,323,204237,0.0068911426,527.725,0.941704660654068,2,257.97686219215393,432.98578
0.0863084,738.8633291202092,0.0,7.9198604,0.0863084,327,207927,0.0072507993,491.025,0.9425668641924858,4,262.07987999916077,410.89044
0.09208526,762.4503328548327,0.0,7.916874,0.09208526,329,210789,0.008517502,502.15,0.8776978328824043,2,266.136203289032,421.99585
0.083440125,790.1266489141751,0.0,7.912292,0.083440125,331,213873,0.006244662,519.025,0.9571801424026489,2,270.28061747550964,435.99472
0.08962124,821.2993120341459,0.0,7.903686,0.08962124,333,215925,0.006920251,523.1,0.8162267655134201,2,274.31628251075745,446.61053
0.11781317,841.2213717360366,0.0,7.917554,0.11781317,335,219654,0.00727008,518.575,0.9231172204017639,2,278.23736786842346,449.85928
0.08504203,838.7898509416824,0.0,7.933243,0.08504203,338,223563,0.007817333,505.575,0.8980125859379768,3,282.30762672424316,442.3436
0.11338505,852.2307187777744,0.0,7.926343,0.11338505,339,225138,0.007545499,511.1,0.8172171860933304,1,286.32062292099,448.70184
0.09128894,867.598661360665,0.0,7.9200296,0.09128894,341,228357,0.006816351,505.3,0.843181774020195,2,290.3399467468262,448.90958
0.12763679,841.9112097387942,0.0,7.907361,0.12763679,343,230739,0.006798353,485.85,0.9339904114603996,2,294.4368441104889,432.2274
0.09357147,848.9066115423245,0.0,7.900939,0.09357147,345,232902,0.0072208378,481.0,0.8211955279111862,2,298.51379132270813,433.27304
