TimestepsSoFar,entropy,entloss,TimeElapsed,EpisodesSoFar,optimgain,EpThisIter,EpTrueRewMean,EpRewMean,meankl,surrgain,EpLenMean,ev_tdlam_before
82962,23.668941,0.0,173.2645764350891,615,0.23004253,15,345.9121741654057,48.57262,0.008844275,0.23004253,71.825,0.8367395251989365
86148,23.665525,0.0,179.80023407936096,632,0.18527234,17,326.54442595768256,46.24028,0.007997692,0.18527234,67.45,0.7158587872982025
89055,23.640055,0.0,186.31305050849915,646,0.2144342,14,330.1768481277451,45.458378,0.00877907,0.2144342,67.75,0.7508913427591324
92217,23.621576,0.0,192.86964750289917,663,0.18607283,17,320.65453265377903,43.32435,0.008764489,0.18607283,65.65,0.7356088161468506
95355,23.624018,0.0,199.27768540382385,677,0.21431184,14,335.2456341659722,48.438484,0.008663375,0.21431184,68.05,0.6142922937870026
98481,23.576677,0.0,205.741797208786,692,0.19453046,15,350.09576846751486,51.391945,0.009664403,0.19453046,69.825,0.7348036468029022
101568,23.556717,0.0,212.21809339523315,705,0.20070165,13,366.3788674492885,54.360607,0.009528875,0.20070165,74.9,0.6939488351345062
104583,23.532389,0.0,218.58801770210266,721,0.22741945,16,331.8808167171613,44.934772,0.009583442,0.22741945,68.95,0.6058293581008911
107595,23.549337,0.0,224.9271547794342,734,0.22791709,13,350.95315339831876,46.852093,0.008985557,0.22791709,72.7,0.7961739897727966
110634,23.520754,0.0,231.3626229763031,748,0.19994129,14,352.28994909735945,47.715935,0.009252636,0.19994129,71.825,0.7127191424369812
113733,23.49603,0.0,237.79297709465027,762,0.20107427,14,366.3276109052405,47.63807,0.009001341,0.20107427,74.475,0.6822698414325714
116775,23.49064,0.0,244.3218400478363,776,0.19695017,14,355.68679856310507,45.20351,0.010054389,0.19695017,73.175,0.7574274986982346
119877,23.494387,0.0,250.8124134540558,788,0.24961916,12,372.7732081406956,44.299843,0.010871511,0.24961916,77.025,0.7349600195884705
123048,23.480707,0.0,257.33082008361816,803,0.25196916,15,368.7196056047816,44.20748,0.008902934,0.25196916,75.625,0.6982102990150452
126225,23.472738,0.0,263.73570466041565,818,0.233473,15,363.66701241509327,44.907124,0.009696405,0.233473,74.2,0.811980202794075
129156,23.461348,0.0,270.3099453449249,830,0.20562883,12,360.12774933947526,46.42332,0.009346537,0.20562883,72.575,0.8067646920681
132312,23.436056,0.0,276.78206992149353,845,0.20584646,15,363.90314737443026,46.597317,0.009522483,0.20584646,73.825,0.7050722539424896
135435,23.421305,0.0,283.2498924732208,860,0.21292658,15,361.22478090551914,44.405796,0.00955632,0.21292658,73.3,0.7644662111997604
138426,23.403828,0.0,289.7251169681549,874,0.20483531,14,349.32740921003847,40.81609,0.009014903,0.20483531,71.3,0.8017343282699585
141591,23.381998,0.0,296.15510964393616,888,0.35820687,14,345.1624888179914,39.777508,0.009414131,0.35820687,70.525,0.7802082747220993
144861,23.366693,0.0,302.65116143226624,902,0.24261881,14,364.6239538834303,45.939907,0.009623816,0.24261881,74.95,0.7777666002511978
147855,23.360353,0.0,309.3187689781189,915,0.24409175,13,370.08086056483654,48.164764,0.0093251,0.24409175,76.175,0.7802482694387436
