EpThisIter,EpLenMean,EpTrueRewMean,surrgain,TimestepsSoFar,EpRewMean,ev_tdlam_before,entropy,EpisodesSoFar,entloss,optimgain,TimeElapsed,meankl
2,445.85,1577.9892901002613,0.061943397,360954,388.52026,0.980338467285037,3.4687212,368,0.0,0.061943397,516.459306716919,0.010419327
1,457.5,1619.8416438379322,0.044143587,363954,395.39456,0.021743357181549072,3.4086893,369,0.0,0.044143587,520.7188429832458,0.0100763105
2,476.0,1688.0173938980054,0.057026498,367833,409.76483,0.7231626510620117,3.3952632,371,0.0,0.057026498,525.0328187942505,0.010228432
1,486.375,1726.0430930634848,0.0462937,370833,417.3038,-0.08767914772033691,3.3607552,372,0.0,0.0462937,529.3011345863342,0.009921366
2,475.925,1694.466450122613,0.056802377,373833,413.36188,0.9808735083788633,3.302223,374,0.0,0.056802377,533.6101474761963,0.010121407
2,485.475,1734.2309725562234,0.04069448,377421,423.4344,0.7016753852367401,3.29255,376,0.0,0.04069448,537.8978037834167,0.009429461
1,499.025,1778.1256339352926,0.049775157,380421,430.54892,0.3417701721191406,3.2995996,377,0.0,0.049775157,542.1356954574585,0.013795785
2,504.275,1792.783879578998,0.05343966,383955,432.64728,0.7860073894262314,3.2791746,379,0.0,0.05343966,546.376389503479,0.0098734
1,510.2,1815.416852302757,0.061299086,385611,437.7666,0.9778273459523916,3.3235471,380,0.0,0.061299086,550.6261808872223,0.0107397465
1,521.9,1856.311015986025,0.04211571,388611,446.63828,0.4838816523551941,3.2450168,381,0.0,0.04211571,554.9008083343506,0.0092743
1,514.8,1829.1350521483891,0.06608601,389997,439.52118,0.9565072171390057,3.2575076,382,0.0,0.06608601,559.1469533443451,0.010786731
3,530.1,1884.2406412994255,0.05904354,394599,453.51074,0.8545580506324768,3.2392812,385,0.0,0.05904354,563.3974859714508,0.010367033
