entloss,EpRewMean,EpisodesSoFar,optimgain,entropy,EpTrueRewMean,EpLenMean,ev_tdlam_before,meankl,TimestepsSoFar,EpThisIter,surrgain,TimeElapsed
0.0,545.3896,419,0.04434894,3.2038667,2253.3325141579426,669.775,0.03151404857635498,0.010141261,545415,1,0.04434894,744.0879166126251
0.0,560.64246,420,0.046954308,3.1654742,2324.4709370356964,691.075,-0.006071329116821289,0.01036622,548415,1,0.046954308,748.3239107131958
0.0,577.5946,421,0.06135232,3.144386,2398.2046383495854,712.75,-0.3190959692001343,0.0094816,551415,1,0.06135232,752.5697643756866
0.0,588.2698,423,0.05539789,3.169892,2441.2305474984396,725.975,0.6235578060150146,0.00975677,555558,2,0.05539789,756.7931776046753
0.0,589.02405,424,0.07455042,3.1116004,2434.518467596643,723.325,0.8424753248691559,0.010265395,556368,1,0.07455042,761.0630578994751
0.0,593.152,425,0.076064855,3.1057732,2452.2295572882167,729.875,0.07713699340820312,0.0093022045,559368,1,0.076064855,765.3427848815918
0.0,579.91394,427,0.05539256,3.11376,2396.3187276798244,710.725,0.978913689032197,0.009493388,563070,2,0.05539256,769.5215463638306
0.0,561.2418,430,0.059745423,3.121247,2312.4862028207526,685.925,0.5839107036590576,0.0092959525,567714,3,0.059745423,773.7246119976044
0.0,530.71545,433,0.06254392,3.146696,2177.4629765621885,644.825,0.9236461222171783,0.009555524,570438,3,0.06254392,778.0020549297333
0.0,513.35565,435,0.062513575,3.1661303,2106.1112220854766,623.425,0.9695442374795675,0.010330083,572451,2,0.062513575,782.2110657691956
0.0,510.41022,438,0.054229736,3.0975266,2109.036694416688,622.55,0.9038392677903175,0.010708535,576666,3,0.054229736,786.4386031627655
0.0,498.73804,440,0.079854965,3.1189582,2065.2870745967252,611.2,0.8601250350475311,0.010582664,578466,2,0.079854965,790.7027637958527
0.0,513.37976,441,0.061337087,3.1421113,2125.303163004759,628.125,0.9892998514696956,0.00931924,580911,1,0.061337087,794.8462460041046
0.0,508.81046,444,0.08193549,3.1532497,2111.298544043692,621.325,0.9807506613433361,0.01020618,584430,3,0.08193549,799.1111128330231
0.0,518.322,446,0.052147515,3.0846155,2154.1073990385285,637.075,0.09938055276870728,0.010029769,589158,2,0.052147515,803.3176696300507
0.0,510.60742,448,0.061946444,3.0661933,2118.3292853298485,629.075,0.2642751932144165,0.0096253,592434,2,0.061946444,807.5711419582367
0.0,508.16254,450,0.059050478,3.0970533,2108.059157401058,625.65,0.9444605223834515,0.009423117,596295,2,0.059050478,811.8556680679321
