EpThisIter,ev_tdlam_before,surrgain,EpisodesSoFar,entropy,EpRewMean,EpTrueRewMean,EpLenMean,meankl,optimgain,entloss,TimestepsSoFar,TimeElapsed
1,-0.2700425386428833,0.04287598,144,3.948816,910.39484,953.7451458089533,921.55,0.0064345747,0.04287598,0.0,164067,208.4206178188324
2,-0.018809914588928223,0.046441883,146,3.9395447,884.89716,931.5962917068682,899.85,0.0076661166,0.046441883,0.0,167463,212.28481554985046
2,-0.31205880641937256,0.05664513,148,3.9068904,864.3499,913.4968924325615,881.45,0.007396461,0.05664513,0.0,171255,216.07376837730408
1,0.0015057921409606934,0.04602629,149,3.8932421,862.55255,913.0116710436738,881.45,0.0076717143,0.04602629,0.0,174255,219.81943035125732
1,-0.023090243339538574,0.030736359,150,3.972969,881.87823,933.7325873352511,902.125,0.007283207,0.030736359,0.0,177255,223.57308387756348
1,-0.010023117065429688,0.049633913,151,3.9775407,880.3039,933.9380310919371,902.125,0.0088375015,0.049633913,0.0,180255,227.43895626068115
1,-0.011579155921936035,0.03502931,152,4.010475,878.9425,934.1009096851842,902.125,0.0069479668,0.03502931,0.0,183255,231.15348529815674
1,-0.12010419368743896,0.040385835,153,3.9853497,877.0172,934.1742099421724,902.125,0.006628314,0.040385835,0.0,186255,234.8518772125244
1,-0.2702608108520508,0.07859862,154,4.0057683,875.57263,933.8927505026338,902.125,0.0071812132,0.07859862,0.0,189255,238.61012315750122
1,-0.028285622596740723,0.039585643,155,3.9973757,873.34033,934.2350206832546,902.125,0.007487558,0.039585643,0.0,192255,242.23721170425415
1,0.012388050556182861,0.042252906,156,4.0236893,871.83466,934.5331688183945,902.125,0.0068200137,0.042252906,0.0,195255,246.04496836662292
1,-0.0712735652923584,0.033441495,157,4.0378094,870.1823,933.5784828400629,902.125,0.008214128,0.033441495,0.0,198255,249.7655005455017
2,-0.10698628425598145,0.043384254,159,4.0416255,856.5695,919.1049854301475,889.15,0.009305509,0.043384254,0.0,202698,253.60822558403015
1,-0.020352959632873535,0.042515233,160,4.0214176,856.03973,918.6076776863338,889.15,0.0067015286,0.042515233,0.0,205698,257.37911581993103
1,-0.017003655433654785,0.049827453,161,4.0095196,867.02795,929.7055832186459,901.0,0.007639087,0.049827453,0.0,208698,261.1701776981354
1,-0.0031633377075195312,0.028021343,162,4.0179744,865.68396,929.4943008913679,901.0,0.006637604,0.028021343,0.0,211698,264.97158575057983
1,-0.011666178703308105,0.03306972,163,4.0461097,865.9972,929.1928220885005,901.0,0.0078001413,0.03306972,0.0,214698,268.763365983963
1,-0.003355860710144043,0.037048202,164,4.0550613,866.3143,929.2868860299523,901.0,0.0075103203,0.037048202,0.0,217698,272.61577582359314
