surrgain,TimestepsSoFar,ev_tdlam_before,EpRewMean,meankl,entropy,EpTrueRewMean,EpLenMean,entloss,optimgain,EpThisIter,TimeElapsed,EpisodesSoFar
0.04670675,676875,0.9061248451471329,162.97462,0.011087512,2.1078355,694.1683754087549,227.425,0.0,0.04670675,5,943.2919270992279,648
0.062462002,679728,0.9952657693065703,162.9998,0.010245617,2.120792,687.2631362427868,224.975,0.0,0.062462002,4,947.693840265274,652
0.059652388,682524,0.996128820348531,162.92346,0.011220897,2.1235049,685.4560436017807,223.8,0.0,0.059652388,4,952.062243938446,656
0.10766192,685389,0.990590981207788,162.67674,0.011611699,2.1467755,689.6511342888627,224.85,0.0,0.10766192,4,956.4188411235809,660
0.059462324,688212,0.9910887973383069,164.34369,0.009907665,2.1585996,699.4997775279046,227.175,0.0,0.059462324,4,960.7861323356628,664
0.06189706,691017,0.9945305939763784,163.6181,0.010493916,2.092637,698.2203076265907,226.275,0.0,0.06189706,4,965.0985407829285,668
0.068574734,694599,0.9988370549399406,165.91101,0.010690903,2.1335142,712.2232126460054,230.075,0.0,0.068574734,5,969.447164773941,673
0.06107079,698181,0.9989237959962338,167.21817,0.010016797,2.1391296,725.6685280823616,234.1,0.0,0.06107079,5,973.7811722755432,678
0.06477517,700986,0.9970345774199814,168.69693,0.010571671,2.1237075,728.3794285775683,233.875,0.0,0.06477517,4,978.0509924888611,682
0.10122308,703842,0.9949055560864508,169.16896,0.010628475,2.1149023,731.1220138237024,234.0,0.0,0.10122308,4,982.3417768478394,686
0.058166277,707379,0.9983682418242097,171.79869,0.010844154,2.115753,743.1819276423785,236.25,0.0,0.058166277,5,986.6987464427948,691
0.07317378,711084,0.9932485497556627,171.09346,0.010741666,2.0886195,747.5873600454718,238.0,0.0,0.07317378,5,991.0843439102173,696
0.1099363,713895,0.9824565034359694,171.10088,0.010208464,2.0787804,745.5042616204466,237.55,0.0,0.1099363,4,995.4342141151428,700
0.08099571,717060,0.9914322001859546,173.93845,0.0106124915,2.0735438,757.5401200659994,240.4,0.0,0.08099571,4,999.7880883216858,704
0.05781662,720216,0.9442025348544121,176.64731,0.009715433,2.0721443,767.648008174707,243.325,0.0,0.05781662,4,1004.110601902008,708
0.07438408,723318,0.9476895071566105,177.47981,0.011687176,2.0606089,774.8396683089298,245.3,0.0,0.07438408,4,1008.4548299312592,712
