EpisodesSoFar,entloss,entropy,optimgain,EpThisIter,TimeElapsed,TimestepsSoFar,EpRewMean,ev_tdlam_before,meankl,surrgain,EpTrueRewMean,EpLenMean
456,0.0,3.550051,0.050121106,1,740.6696317195892,616443,2723.556541409524,-0.010950565338134766,0.011711406,0.050121106,2723.556541409524,906.4
457,0.0,3.5354834,0.06222292,1,744.5823934078217,619404,2732.9167468052165,0.9538302011787891,0.009275473,0.06222292,2732.9167468052165,906.075
458,0.0,3.5302103,0.057380535,1,748.2883381843567,621909,2764.082395888111,-0.0485689640045166,0.008193012,0.057380535,2764.082395888111,917.075
459,0.0,3.5375679,0.052456796,1,752.013420343399,624909,2789.6168130346837,0.23155826330184937,0.00931482,0.052456796,2789.6168130346837,924.3
461,0.0,3.5304956,0.053887647,2,755.6823406219482,628878,2755.3634884449802,0.7183004319667816,0.009315227,0.053887647,2755.3634884449802,909.4
463,0.0,3.506875,0.0635943,2,759.4016811847687,632124,2698.822290222165,0.980825275182724,0.009074518,0.0635943,2698.822290222165,886.45
464,0.0,3.5118392,0.049917687,1,763.0846929550171,635124,2700.9213880673497,-0.02174961566925049,0.008554878,0.049917687,2700.9213880673497,886.45
465,0.0,3.5177329,0.04475225,1,766.7618730068207,638124,2703.114358680491,0.016591966152191162,0.008893321,0.04475225,2703.114358680491,886.45
467,0.0,3.524896,0.05912225,2,770.4433238506317,642204,2680.7474325671146,0.9546111449599266,0.008539574,0.05912225,2680.7474325671146,876.725
469,0.0,3.5251079,0.053910933,2,774.1847469806671,648204,2683.7942798983386,-0.01033627986907959,0.009493724,0.053910933,2683.7942798983386,876.725
470,0.0,3.5305157,0.059402682,1,777.8717823028564,650472,2668.2329830172857,0.968768710270524,0.008849211,0.059402682,2668.2329830172857,870.625
471,0.0,3.5262675,0.046465494,1,781.5984694957733,653472,2667.5484560854698,0.02183675765991211,0.009424284,0.046465494,2667.5484560854698,870.625
472,0.0,3.5032878,0.05520748,1,785.3933219909668,656472,2688.100080166936,0.021351099014282227,0.009466276,0.05520748,2688.100080166936,878.95
474,0.0,3.5231237,0.058773078,2,789.1450004577637,661017,2673.143168146138,0.7374814748764038,0.010855839,0.058773078,2673.143168146138,874.3
475,0.0,3.4910882,0.0420216,1,792.9388828277588,664017,2674.5342492300024,-0.10964047908782959,0.008978738,0.0420216,2674.5342492300024,874.3
476,0.0,3.4614265,0.045872133,1,796.7222948074341,667017,2672.851085093637,-0.00010097026824951172,0.009281078,0.045872133,2672.851085093637,874.3
477,0.0,3.4408286,0.04377336,1,800.4349837303162,670017,2670.6592699897633,-0.020281434059143066,0.008825985,0.04377336,2670.6592699897633,874.3
478,0.0,3.4680498,0.056233656,1,804.229350566864,673017,2691.669795768681,0.05560106039047241,0.009213939,0.056233656,2691.669795768681,881.9
480,0.0,3.4942389,0.057682093,2,807.921546459198,678741,2709.335074073793,0.05530905723571777,0.008597378,0.057682093,2709.335074073793,888.375
481,0.0,3.4770882,0.0475579,1,811.608167886734,681741,2708.2850249139433,0.008785784244537354,0.008799824,0.0475579,2708.2850249139433,888.375
482,0.0,3.4810467,0.05484077,1,815.328684091568,684741,2708.671500535933,-0.12106502056121826,0.009737225,0.05484077,2708.671500535933,888.375
483,0.0,3.4956903,0.056303162,1,819.0129330158234,687741,2724.446687153781,0.004829466342926025,0.007778932,0.056303162,2724.446687153781,894.7
484,0.0,3.4550564,0.0664535,1,822.8140919208527,690741,2725.6139291948048,-0.006938934326171875,0.010740806,0.0664535,2725.6139291948048,894.7
486,0.0,3.475405,0.048506916,2,826.5197269916534,696741,2722.2848390806953,-0.015738844871520996,0.009363076,0.048506916,2722.2848390806953,894.7
487,0.0,3.5150993,0.0448872,1,830.2378628253937,699741,2753.9987003381057,-0.01884937286376953,0.0087809265,0.0448872,2753.9987003381057,905.775
488,0.0,3.4898906,0.05234762,1,833.9279239177704,702741,2753.5728438464707,-0.010326981544494629,0.008791586,0.05234762,2753.5728438464707,905.775
489,0.0,3.5297554,0.06142802,1,837.6210985183716,705741,2767.629377545977,-0.09551084041595459,0.009289039,0.06142802,2767.629377545977,910.0
490,0.0,3.5272539,0.04628881,1,841.3678996562958,708741,2766.4222777624723,-0.1545025110244751,0.008611212,0.04628881,2766.4222777624723,910.0
492,0.0,3.5398629,0.056692235,2,845.0410158634186,713478,2730.803156276497,0.5421700179576874,0.008095847,0.056692235,2730.803156276497,899.475
493,0.0,3.5382974,0.054000467,1,848.8804194927216,716478,2729.4763456158316,0.5884107351303101,0.00840646,0.054000467,2729.4763456158316,899.475
494,0.0,3.5321066,0.052536666,1,852.5779683589935,719478,2753.425029560869,-0.004892230033874512,0.0077884444,0.052536666,2753.425029560869,908.625
495,0.0,3.4931264,0.047134936,1,856.2976710796356,722478,2751.750546445452,-0.021095752716064453,0.009048644,0.047134936,2751.750546445452,908.625
496,0.0,3.5033793,0.05297231,1,859.9892127513885,725478,2750.3711677432393,-0.03806757926940918,0.008951316,0.05297231,2750.3711677432393,908.625
497,0.0,3.5185018,0.046269536,1,863.7312078475952,728478,2744.9958443886208,-0.017522096633911133,0.009209864,0.046269536,2744.9958443886208,908.95
498,0.0,3.4956338,0.04091393,1,867.367589712143,731478,2756.1174627012088,-0.03553628921508789,0.009750353,0.04091393,2756.1174627012088,913.075
499,0.0,3.4888997,0.05550392,1,871.0461943149567,734478,2754.102679460602,0.03304851055145264,0.008677839,0.05550392,2754.102679460602,913.075
501,0.0,3.5269861,0.050102767,2,874.691103219986,739041,2765.7774628364273,0.7019799947738647,0.010286793,0.050102767,2765.7774628364273,918.025
502,0.0,3.5704043,0.054335486,1,878.3464157581329,742041,2808.0868255439873,-0.035300493240356445,0.009257468,0.054335486,2808.0868255439873,933.3
