meankl,entropy,EpisodesSoFar,optimgain,entloss,TimeElapsed,EpThisIter,EpLenMean,EpRewMean,EpTrueRewMean,ev_tdlam_before,surrgain,TimestepsSoFar
0.008662727,7.033878,533,0.09512971,0.0,828.0114572048187,1,671.1,581.23425,2011.8400638083153,0.898583710193634,0.09512971,571041
0.0101069845,7.00572,535,0.1266383,0.0,832.4125304222107,2,646.725,562.6973,1942.2002466997517,0.904105469584465,0.1266383,574116
0.009616952,6.984315,536,0.110655054,0.0,836.8399565219879,1,657.875,570.39795,1975.822923433964,0.8731637001037598,0.110655054,576627
0.009416613,6.9632397,537,0.106059626,0.0,841.2529819011688,1,662.65,574.1868,1997.8450375168777,0.9606465250253677,0.106059626,579177
0.010642732,6.95839,539,0.09329385,0.0,845.6587102413177,2,675.7,584.3085,2048.892935685347,0.6603536903858185,0.09329385,583302
0.009800181,6.9438443,541,0.09243746,0.0,850.0711047649384,2,654.375,568.55743,2001.7438693518495,0.8402007669210434,0.09243746,586743
0.008754216,6.973143,543,0.1175942,0.0,854.4737784862518,2,667.45,576.96906,2056.480673444689,0.8697966188192368,0.1175942,591057
0.009326344,6.9698343,545,0.09029659,0.0,858.8827543258667,2,669.65,576.70483,2076.8968311157623,0.7175568342208862,0.09029659,596028
0.009921053,6.9709644,546,0.07553902,0.0,863.3700699806213,1,687.65,591.34094,2147.595504807998,0.02484208345413208,0.07553902,599028
0.0106420545,6.964168,548,0.09693897,0.0,867.7692315578461,2,673.65,583.3008,2140.4434553947563,0.9272577911615372,0.09693897,603348
0.010341625,6.9813805,549,0.07907359,0.0,872.1662728786469,1,676.925,585.6059,2163.53472244228,-0.029740095138549805,0.07907359,606348
0.010718625,6.9527016,550,0.11945467,0.0,876.583345413208,1,676.725,584.6769,2165.4533177183357,0.8183951377868652,0.11945467,609324
0.009781742,6.957289,551,0.09665279,0.0,881.0063009262085,1,695.875,601.66003,2246.619113821782,0.09940606355667114,0.09665279,612324
0.009308854,6.9437084,552,0.10561752,0.0,885.4549181461334,1,696.275,600.52405,2249.877009030557,0.613526850938797,0.10561752,615324
0.010012573,6.965211,553,0.080508575,0.0,889.8239650726318,1,696.275,599.20276,2249.188633655943,-0.011259317398071289,0.080508575,618324
