EpisodesSoFar,surrgain,meankl,TimestepsSoFar,EpLenMean,entloss,EpTrueRewMean,EpRewMean,ev_tdlam_before,entropy,EpThisIter,TimeElapsed,optimgain
720,0.12117332,0.009429844,193534,436.975,0.0,1344.7756701521232,256.22968,0.7543927878141403,6.266602,2,827.5151565074921,0.12117332
722,0.12009447,0.009975819,194762,434.55,0.0,1321.8338162198306,248.22046,0.7586985379457474,6.263366,2,831.7796356678009,0.12009447
723,0.12916464,0.009614359,195316,444.725,0.0,1353.8554359113516,255.11398,0.8065136820077896,6.271427,1,836.0452468395233,0.12916464
725,0.12715149,0.009408864,196801,458.425,0.0,1398.6359842021252,263.6144,0.8315328806638718,6.285826,2,840.3127064704895,0.12715149
728,0.11010522,0.009844901,197963,458.6,0.0,1389.0768110157496,262.00104,0.8712364286184311,6.267822,3,844.6120409965515,0.11010522
730,0.11290938,0.009373359,198682,459.85,0.0,1392.417681670441,261.82568,0.8920120969414711,6.235333,2,848.927143573761,0.11290938
733,0.09227495,0.009577624,200425,472.05,0.0,1431.073017012644,269.0033,0.7317919135093689,6.2549453,3,853.2051074504852,0.09227495
734,0.14993936,0.010322627,200940,480.2,0.0,1461.8421697018887,275.6115,0.5173841416835785,6.2061315,1,857.4797563552856,0.14993936
736,0.12842733,0.009623613,201698,484.6,0.0,1472.1827463010359,278.64856,0.7995109856128693,6.1874385,2,861.7607841491699,0.12842733
737,0.10595721,0.009869261,202698,500.175,0.0,1507.5972764058347,284.39893,0.33612656593322754,6.164186,1,865.9991698265076,0.10595721
740,0.09404701,0.010723546,204301,513.4,0.0,1546.4420458043787,291.925,0.6634796261787415,6.1414847,3,870.5555906295776,0.09404701
742,0.120747216,0.00914079,205147,518.275,0.0,1566.9670758378575,298.26318,0.8453259766101837,6.1110215,2,874.8927025794983,0.120747216
744,0.118852034,0.009916729,205818,518.975,0.0,1574.4740008013175,299.2189,0.8089654594659805,6.1104174,2,879.2258987426758,0.118852034
746,0.10335352,0.00949626,206735,508.15,0.0,1565.5298225829995,296.899,0.7664526402950287,6.1165314,2,883.5450248718262,0.10335352
