EpRewMean,surrgain,ev_tdlam_before,EpThisIter,EpisodesSoFar,optimgain,EpLenMean,EpTrueRewMean,entloss,TimeElapsed,meankl,TimestepsSoFar,entropy
87.14272,0.095999196,0.844764769077301,4,461,0.095999196,317.95,746.5244082355041,0.0,2126.501378297806,0.007262934,253836,7.7180033
90.074814,0.102503926,0.8569185882806778,4,465,0.102503926,310.65,748.7147279483017,0.0,2152.6629116535187,0.008310232,257160,7.718499
91.88159,0.09304904,0.8538345396518707,3,468,0.09304904,308.725,756.8884544295249,0.0,2177.5094645023346,0.008153583,259653,7.7134595
91.91846,0.08625331,0.9027654156088829,3,471,0.08625331,306.725,757.6288239853486,0.0,2203.7157576084137,0.0078855045,262815,7.705501
87.69087,0.10162052,0.8689289540052414,4,475,0.10162052,297.1,731.5607215273482,0.0,2229.010927438736,0.0077962223,266202,7.6985745
88.22536,0.110088855,0.8504660874605179,3,478,0.110088855,300.025,736.4825093669143,0.0,2255.1086602211,0.008682922,269220,7.674511
85.4056,0.090706706,0.6721756160259247,4,482,0.090706706,289.6,720.3859259192395,0.0,2279.817065477371,0.0069402084,272553,7.661377
85.33079,0.09341968,0.8848222941160202,4,486,0.09341968,288.1,721.792885071604,0.0,2306.0131990909576,0.00829225,276129,7.679138
88.25396,0.10225937,0.9558281563222408,3,489,0.10225937,292.8,747.708579653604,0.0,2331.3977320194244,0.007723994,278799,7.6832952
87.598495,0.10634196,0.89701147377491,3,492,0.10634196,288.375,740.6691826627637,0.0,2357.6361396312714,0.00849455,281367,7.675109
88.45565,0.0872778,0.9212746098637581,4,496,0.0872778,288.15,750.018302403957,0.0,2382.4348175525665,0.007974956,284577,7.6717253
87.827805,0.10730126,0.8741201311349869,3,499,0.10730126,288.9,755.7062261552796,0.0,2408.4138474464417,0.008245351,287178,7.663018
89.11665,0.102840096,0.9192924275994301,3,502,0.102840096,293.075,768.107642057759,0.0,2433.628185272217,0.0074440036,289917,7.664979
87.77083,0.09382647,0.9353270977735519,3,505,0.09382647,293.8,772.01481268075,0.0,2459.87579369545,0.00792253,292416,7.6606684
89.038124,0.11322778,0.9252027124166489,3,508,0.11322778,295.075,785.5693231266735,0.0,2484.3146266937256,0.008346,295062,7.6518087
86.19849,0.079857565,0.9125473946332932,4,512,0.079857565,285.375,760.9756340765871,0.0,2510.758073568344,0.008257312,298143,7.633456
87.68609,0.09150826,0.917678989470005,2,514,0.09150826,290.825,779.0865622805211,0.0,2535.7999017238617,0.008299486,300321,7.6526794
87.20599,0.09622442,0.9392718002200127,3,517,0.09622442,287.5,781.6807988292459,0.0,2561.766685962677,0.008624487,302979,7.6580663
85.08891,0.09796007,0.9115655198693275,3,520,0.09796007,286.125,777.5504541192793,0.0,2586.9829862117767,0.0085128695,305772,7.6468306
89.079384,0.094159976,0.8563622236251831,3,523,0.094159976,295.3,818.0736017380092,0.0,2613.510338783264,0.008573893,309087,7.625797
89.86733,0.090866745,0.9577634893357754,3,526,0.090866745,298.3,831.9136056661424,0.0,2638.368483543396,0.008119695,311925,7.6139216
90.42012,0.09627232,0.8800832331180573,4,530,0.09627232,298.25,839.9251432722915,0.0,2664.607275724411,0.008775176,315579,7.5889697
91.3776,0.10231805,0.9085792452096939,3,533,0.10231805,302.45,858.9374517287142,0.0,2689.832432985306,0.00813636,318537,7.5959544
93.879295,0.10004985,0.917274571955204,3,536,0.10004985,313.4,893.5324402508004,0.0,2715.9028704166412,0.008925709,322185,7.5899467
93.43123,0.0968224,0.9375428147614002,3,539,0.0968224,312.275,896.7234651531853,0.0,2741.0984785556793,0.0077696145,324651,7.577187
94.509895,0.098032296,0.9520367756485939,3,542,0.098032296,313.05,912.2795454263535,0.0,2767.002416372299,0.008665278,327483,7.592399
93.33656,0.09796843,0.8863731622695923,4,546,0.09796843,308.975,902.9606580916418,0.0,2791.7495081424713,0.009077894,330408,7.6013794
94.93646,0.09736995,0.9484133832156658,4,550,0.09736995,315.35,932.0635005049487,0.0,2817.6835644245148,0.009247067,334191,7.6015215
93.367165,0.10454362,0.9442905746400356,4,554,0.10454362,308.6,914.7751798555053,0.0,2842.8602709770203,0.009213401,337353,7.59143
94.228935,0.08820307,0.9357615485787392,3,557,0.08820307,311.15,924.9331005438451,0.0,2868.85667347908,0.008664135,340317,7.576104
92.70107,0.108843565,0.9394286088645458,4,561,0.108843565,305.8,906.8941733293577,0.0,2893.991085767746,0.007962212,343872,7.5816965
93.800896,0.107577175,0.966709204018116,3,564,0.107577175,308.125,919.7407021905901,0.0,2920.179752111435,0.008373494,346845,7.583054
92.89862,0.09807086,0.9612768515944481,3,567,0.09807086,305.6,914.7785822478021,0.0,2944.9290096759796,0.008751144,349713,7.5845904
92.390854,0.09999189,0.8591168373823166,3,570,0.09999189,305.775,914.3826973067753,0.0,2971.0545938014984,0.00806987,352272,7.55328
91.86198,0.10068074,0.9351252838969231,3,573,0.10068074,305.3,913.9903720809149,0.0,2995.423035621643,0.008544099,355173,7.5264177
89.851776,0.10949366,0.9200567007064819,3,576,0.10949366,296.75,892.6257850162153,0.0,3021.493810415268,0.00905975,357795,7.5302806
92.31785,0.101983786,0.9424625411629677,2,578,0.101983786,306.1,921.3593824268257,0.0,3046.6506958007812,0.008548385,360642,7.5468407
