entloss,optimgain,EpRewMean,TimestepsSoFar,EpTrueRewMean,meankl,ev_tdlam_before,EpThisIter,TimeElapsed,EpLenMean,surrgain,EpisodesSoFar,entropy
0.0,0.24101314,57.926167,291051,422.56826663289604,0.011676377,0.8788748756051064,12,643.8232991695404,84.475,0.24101314,1445,23.299398
0.0,0.2660508,58.61751,294051,418.9516701868508,0.012171701,0.9061929509043694,12,650.8525676727295,83.2,0.2660508,1457,23.291338
0.0,0.24226156,59.239674,296919,418.3351299826505,0.011842404,0.8315212726593018,12,657.5267291069031,82.0,0.24226156,1469,23.292013
0.0,0.24696755,54.85213,299826,403.11336382919615,0.011529941,0.7664105743169785,13,664.1166260242462,79.425,0.24696755,1482,23.29051
0.0,0.24495983,54.302574,303084,404.53419378967254,0.012119435,0.8564533293247223,12,670.8274056911469,80.7,0.24495983,1494,23.303385
0.0,0.24735011,53.50982,306339,414.694744309194,0.011354813,0.8721462488174438,13,677.3796195983887,82.825,0.24735011,1507,23.294168
0.0,0.25168824,56.418114,309636,418.9597793261282,0.011272533,0.8002064228057861,13,684.2431709766388,84.775,0.25168824,1520,23.292318
0.0,0.26113993,55.56251,312789,429.3834299286967,0.012052761,0.8017183542251587,11,690.982800245285,86.825,0.26113993,1531,23.294168
0.0,0.26938778,59.033672,315801,440.1936533041482,0.012226436,0.7728603780269623,11,697.7739915847778,90.15,0.26938778,1542,23.289797
0.0,0.24657229,55.648,318963,422.70034843553475,0.011876438,0.8389623761177063,13,704.584386587143,87.45,0.24657229,1555,23.289618
0.0,0.2567266,57.039406,322050,428.92601246756203,0.011761174,0.7925552129745483,12,711.4141309261322,87.125,0.2567266,1567,23.28737
0.0,0.26847807,51.78358,324924,408.0301988585985,0.013327774,0.8349157422780991,12,718.1578867435455,82.7,0.26847807,1579,23.280596
0.0,0.30044895,55.45968,327801,410.30633928752894,0.013895026,0.8245135992765427,11,725.0101923942566,82.475,0.30044895,1590,23.285728
0.0,0.26531756,57.59955,330744,434.43777846280807,0.013018542,0.8699589222669601,10,731.817791223526,87.85,0.26531756,1600,23.286604
0.0,0.23206598,59.280224,333882,451.2839337675803,0.0118699595,0.8829669132828712,11,738.566929101944,90.925,0.23206598,1611,23.284689
0.0,0.29532024,64.315414,336939,467.47776058998244,0.013978075,0.855095848441124,11,745.4094395637512,93.275,0.29532024,1622,23.285137
0.0,0.33897445,68.616135,339909,475.64875186095543,0.013702489,0.7331510782241821,10,752.1829798221588,95.875,0.33897445,1632,23.277811
0.0,0.25703508,64.8942,343152,446.5070805271386,0.013796121,0.7503682374954224,13,758.9374096393585,89.375,0.25703508,1645,23.275389
0.0,0.24702539,67.30089,346095,459.7238435671994,0.013365667,0.8302487879991531,11,765.6533923149109,92.1,0.24702539,1656,23.267513
0.0,0.28599328,58.634666,349101,438.5545379330915,0.01346079,0.8800223395228386,11,772.308111667633,87.475,0.28599328,1667,23.27419
0.0,0.2489155,57.22577,351996,438.4449782950893,0.012672006,0.7984103262424469,12,779.1057476997375,86.8,0.2489155,1679,23.268963
0.0,0.2825277,56.6957,355128,432.44475183549037,0.014167174,0.8485267609357834,12,785.858738899231,85.7,0.2825277,1691,23.270683
0.0,0.26810175,57.056038,357960,429.024578108463,0.013373596,0.860545814037323,11,792.6139044761658,85.1,0.26810175,1702,23.274496
0.0,0.57565343,62.821663,361059,455.1848420585814,0.014101297,0.8147844970226288,10,799.269758939743,90.15,0.57565343,1712,23.289713
0.0,0.26396602,64.31597,363927,463.451261128023,0.012891935,0.8186880350112915,10,806.1327223777771,91.525,0.26396602,1722,23.286844
0.0,0.24568038,63.749073,367110,459.9940104922377,0.013521074,0.8594662100076675,13,812.928816318512,90.625,0.24568038,1735,23.282713
0.0,0.15767094,68.27054,370350,467.66754100875806,0.003952444,0.8289391100406647,11,819.7045485973358,92.5,0.15767094,1746,23.277262
0.0,0.27155113,65.35355,373320,455.41072934171586,0.013212577,0.8556612133979797,11,826.5880496501923,90.85,0.27155113,1757,23.280268
0.0,0.2939266,66.95346,376554,461.78871853465046,0.014112976,0.8758605867624283,12,833.3550860881805,91.55,0.2939266,1769,23.283525
