entropy,meankl,optimgain,EpThisIter,EpRewMean,TimestepsSoFar,ev_tdlam_before,EpLenMean,EpTrueRewMean,EpisodesSoFar,entloss,surrgain,TimeElapsed
7.8933864,0.005813863,0.07910862,3,215.30078,128244,0.9047996550798416,289.2,448.60017844733403,236,0.0,0.07910862,186.63967847824097
7.899296,0.007021829,0.088289365,3,220.73877,130833,0.8445683717727661,295.325,469.24848288170426,239,0.0,0.088289365,191.04808950424194
7.8801265,0.00672531,0.08180745,4,239.06523,134661,0.6280764639377594,305.725,503.49976914349753,243,0.0,0.08180745,195.6071650981903
7.8967924,0.006247683,0.09741071,4,246.69458,138156,0.6818983256816864,307.6,518.7407382929539,247,0.0,0.09741071,200.1739273071289
7.9028935,0.006262143,0.085175216,3,248.60071,141207,0.8941268250346184,316.125,522.6784109367467,250,0.0,0.085175216,204.73526549339294
7.907468,0.0062814793,0.09098634,3,249.7904,144474,0.8583285808563232,312.5,525.4245561700338,253,0.0,0.09098634,209.2988419532776
7.9113774,0.0066880463,0.10441826,3,251.91177,146973,0.7162986993789673,312.225,534.1502677438451,256,0.0,0.10441826,213.85021352767944
7.891492,0.0066978615,0.10907312,4,254.08525,150417,0.842296302318573,304.125,535.1467035670761,260,0.0,0.10907312,218.28139972686768
7.8970957,0.0060984297,0.08367765,2,261.44653,152976,0.7274115979671478,314.45,551.3695571766347,262,0.0,0.08367765,222.7976360321045
7.875381,0.007014059,0.08809516,2,276.12994,156657,0.7335829138755798,327.825,578.3664368981711,264,0.0,0.08809516,227.30703616142273
7.842212,0.0060955035,0.08056009,2,283.78067,159588,0.7962059676647186,339.375,596.1887899656482,266,0.0,0.08056009,231.84616422653198
7.816769,0.0068903323,0.093428515,3,290.86636,163035,0.8746674656867981,348.725,605.9614475932647,269,0.0,0.093428515,236.3861379623413
7.82002,0.0062081018,0.081093505,2,297.1646,165486,0.8053636997938156,354.9,619.7545379868495,271,0.0,0.081093505,240.89902663230896
7.8018637,0.0072804457,0.10230057,2,300.52954,168549,0.8694979846477509,357.175,629.1450682340738,273,0.0,0.10230057,245.40414786338806
7.7943687,0.006813212,0.10626224,3,306.73685,171753,0.9149821624159813,362.575,649.6035228904988,276,0.0,0.10626224,249.92064476013184
7.78093,0.006810254,0.08684317,2,315.7651,174885,0.8728615641593933,375.225,676.023927443391,278,0.0,0.08684317,254.50728607177734
7.762088,0.007498732,0.10065173,3,319.115,177807,0.8710139989852905,374.975,687.8394481302935,281,0.0,0.10065173,259.0638656616211
7.76215,0.007930964,0.11514782,2,322.42783,180189,0.6005078256130219,379.4,694.2752515248128,283,0.0,0.11514782,263.4979507923126
7.7650604,0.007532381,0.0976853,4,318.5572,183075,0.8608766496181488,374.325,688.5646902989063,287,0.0,0.0976853,267.90555930137634
