EpLenMean,EpThisIter,EpRewMean,entloss,TimestepsSoFar,TimeElapsed,EpTrueRewMean,surrgain,ev_tdlam_before,meankl,EpisodesSoFar,optimgain,entropy
768.775,1,1966.1241353994562,0.0,458523,585.848968744278,1966.1241353994562,0.08498918,-0.12177765369415283,0.008625719,472,0.08498918,7.4082637
768.775,1,1962.2905252773185,0.0,461523,589.7263035774231,1962.2905252773185,0.0745715,0.35757869482040405,0.009472333,473,0.0745715,7.3914027
769.25,1,1966.001813132831,0.0,464523,593.5648665428162,1966.001813132831,0.066437684,0.11641889810562134,0.00838638,474,0.066437684,7.3907475
777.55,1,1982.3183310706831,0.0,467523,597.4750835895538,1982.3183310706831,0.13188699,0.3786064386367798,0.009925771,475,0.13188699,7.374088
786.875,1,2009.1877348976145,0.0,470523,601.3341076374054,2009.1877348976145,0.0661407,0.1225387454032898,0.009519376,476,0.0661407,7.3302455
787.2,2,2003.7291208799907,0.0,475305,605.280508518219,2003.7291208799907,0.075307116,0.5756551623344421,0.008803269,478,0.075307116,7.3174405
803.825,2,2070.5082489250276,0.0,481305,609.1530146598816,2070.5082489250276,0.07417028,0.0950503945350647,0.008923234,480,0.07417028,7.3319707
812.6,1,2109.523234740919,0.0,483450,613.01664686203,2109.523234740919,0.08883788,0.8941529244184494,0.010294862,481,0.08883788,7.3434463
812.6,1,2106.5785043281903,0.0,486450,616.8785235881805,2106.5785043281903,0.0685959,0.057629287242889404,0.008994119,482,0.0685959,7.377486
805.95,1,2101.3783664184216,0.0,488652,620.7761251926422,2101.3783664184216,0.10756764,0.9088603854179382,0.008973475,483,0.10756764,7.4126453
776.3,3,2031.6933632152202,0.0,492828,624.6438462734222,2031.6933632152202,0.09179903,0.8954560309648514,0.008908302,486,0.09179903,7.4098673
785.225,2,2053.2607866171334,0.0,498249,628.4962706565857,2053.2607866171334,0.082530744,0.6373501718044281,0.009878875,488,0.082530744,7.4454913
785.8,1,2045.653850882026,0.0,501249,632.3273091316223,2045.653850882026,0.06413516,0.4705239534378052,0.008346997,489,0.06413516,7.445247
784.475,2,2043.6579444865033,0.0,503583,636.2348790168762,2043.6579444865033,0.09469288,0.7827038019895554,0.009113937,491,0.09469288,7.492492
786.7,2,2068.068727061816,0.0,507471,640.1369757652283,2068.068727061816,0.10058442,0.8504046946763992,0.009450615,493,0.10058442,7.4802084
775.55,1,2030.5268524085725,0.0,509133,644.052059173584,2030.5268524085725,0.11552848,0.7944112122058868,0.008056859,494,0.11552848,7.510804
780.25,1,2055.323997734732,0.0,510612,647.958774805069,2055.323997734732,0.12919721,0.8323821127414703,0.008337564,495,0.12919721,7.503434
748.825,2,1971.1277390428172,0.0,512841,651.8195552825928,1971.1277390428172,0.09467954,0.9447026811540127,0.009167562,497,0.09467954,7.5126305
755.4,2,1998.722393070173,0.0,516609,655.6630654335022,1998.722393070173,0.09269266,0.9279496446251869,0.008557707,499,0.09269266,7.5034184
768.55,1,2031.4406564597025,0.0,519459,659.5121030807495,2031.4406564597025,0.087561876,0.8284101188182831,0.009225354,500,0.087561876,7.509631
772.05,1,2040.484070200105,0.0,521757,663.3922567367554,2040.484070200105,0.109175235,0.9347125813364983,0.0073442273,501,0.109175235,7.524124
750.95,2,1984.6208530533215,0.0,525225,667.2633640766144,1984.6208530533215,0.070083305,0.7913184612989426,0.009064946,503,0.070083305,7.5192747
736.8,1,1941.4585401557713,0.0,526128,671.151686668396,1941.4585401557713,0.11029115,0.7002687454223633,0.009601926,504,0.11029115,7.509753
736.8,1,1943.5807387352816,0.0,529128,675.0011100769043,1943.5807387352816,0.075562775,0.03120410442352295,0.008493687,505,0.075562775,7.496762
747.075,2,1976.7478051013973,0.0,534849,678.880984544754,1976.7478051013973,0.082251534,0.6280136108398438,0.008661528,507,0.082251534,7.4900556
754.225,1,2003.5476683245215,0.0,537849,682.7388517856598,2003.5476683245215,0.070490845,0.419044554233551,0.008290948,508,0.070490845,7.4886627
754.325,1,1994.6176837988853,0.0,540849,686.5151209831238,1994.6176837988853,0.08210247,0.23649287223815918,0.008919874,509,0.08210247,7.4485345
758.375,1,2006.5235344193275,0.0,543849,690.3979649543762,2006.5235344193275,0.06766731,0.21734416484832764,0.009008005,510,0.06766731,7.423877
756.375,1,2005.812774816175,0.0,546288,694.2992835044861,2005.812774816175,0.09085457,0.7002525627613068,0.0085534435,511,0.09085457,7.4396234
