EpRewMean,ev_tdlam_before,TimestepsSoFar,EpTrueRewMean,EpisodesSoFar,entropy,optimgain,surrgain,meankl,EpThisIter,EpLenMean,TimeElapsed,entloss
88.53305,0.8580520302057266,314046,425.23957317575696,1530,23.545656,0.24213056,0.24213056,0.012824377,12,85.925,927.3559503555298,0.0
87.66344,0.8613452166318893,317310,426.30404866696347,1542,23.543781,0.2657232,0.2657232,0.011941321,12,86.675,936.728105545044,0.0
84.476944,0.8647589385509491,320262,429.85915254110694,1553,23.538816,0.24825692,0.24825692,0.011095593,11,85.95,945.9085409641266,0.0
86.26842,0.8498911559581757,323301,438.2658293610663,1565,23.538656,0.23077258,0.23077258,0.011513153,12,88.275,955.1222138404846,0.0
88.7694,0.8581990301609039,326439,447.4147469890082,1576,23.537355,0.238702,0.238702,0.013189426,11,89.825,964.3677639961243,0.0
88.3421,0.8838253393769264,329538,442.7637950773068,1588,23.528986,0.24910115,0.24910115,0.011572913,12,89.2,973.7431325912476,0.0
89.021935,0.9045520722866058,332646,439.1416182851193,1599,23.533268,0.25785786,0.25785786,0.012160826,11,89.575,983.097100019455,0.0
91.86763,0.8982608765363693,335844,449.59456482485075,1611,23.528547,0.23119922,0.23119922,0.012557188,12,90.9,992.2645440101624,0.0
93.83122,0.8895283564925194,339123,453.59376652111007,1622,23.518305,0.27761847,0.27761847,0.012228817,11,91.725,1001.5125432014465,0.0
97.00929,0.872423529624939,342048,469.2064738139408,1632,23.513678,0.2507993,0.2507993,0.012590768,10,93.95,1010.7550985813141,0.0
95.073845,0.8957993388175964,345084,465.37854966796885,1644,23.510275,0.25205743,0.25205743,0.012621141,12,92.65,1019.9789152145386,0.0
96.61664,0.913634717464447,348321,474.6103405176553,1655,23.503984,0.22072676,0.22072676,0.012613669,11,94.775,1029.2376806735992,0.0
90.07517,0.8806711509823799,351630,450.11949101785774,1668,23.510923,0.241418,0.241418,0.012429032,13,90.425,1038.42626953125,0.0
89.08679,0.8911002576351166,354888,448.1926354591833,1680,23.505598,0.27127072,0.27127072,0.01284389,12,90.15,1047.5937044620514,0.0
90.61234,0.8803965002298355,357747,444.5934256871231,1690,23.506021,0.26125497,0.26125497,0.012097243,10,90.075,1056.838820695877,0.0
89.10403,0.8926424533128738,360726,440.3458738604904,1702,23.500978,0.24566975,0.24566975,0.012933467,12,89.575,1066.145340204239,0.0
87.16147,0.8875202760100365,363807,423.6827327111696,1714,23.502275,0.24962777,0.24962777,0.013072664,12,86.625,1075.4593646526337,0.0
92.31712,0.8691545873880386,366783,442.06489802209796,1724,23.494955,0.26056248,0.26056248,0.013260363,10,90.075,1084.7303485870361,0.0
89.60179,0.8605211526155472,369633,439.73842208684164,1735,23.492659,0.23418778,0.23418778,0.01220036,11,89.525,1093.9817731380463,0.0
85.704,0.8571267277002335,372708,429.2111956782346,1748,23.49748,0.25360858,0.25360858,0.012272465,13,87.45,1103.1778526306152,0.0
83.262314,0.8772032260894775,375717,422.202883451709,1759,23.4978,0.38094556,0.38094556,0.012972191,11,85.925,1112.4391295909882,0.0
79.67499,0.855345606803894,378639,404.8040478681679,1771,23.499823,0.26965147,0.26965147,0.012275635,12,82.425,1121.6556978225708,0.0
84.90169,0.8880631923675537,381570,424.4967136682273,1782,23.492352,0.29671025,0.29671025,0.013401807,11,85.925,1130.838972568512,0.0
93.80561,0.8621617555618286,384840,462.0558345193169,1792,23.488832,0.24431795,0.24431795,0.012602543,10,92.8,1140.0688681602478,0.0
92.91887,0.9036006554961205,388005,457.092747578291,1804,23.493082,0.26663193,0.26663193,0.012898885,12,92.075,1149.2388322353363,0.0
92.75348,0.9151231423020363,391080,448.5706207021657,1817,23.48812,0.24863161,0.24863161,0.012425614,13,90.0,1158.4278910160065,0.0
86.02913,0.8729424625635147,394008,427.19898614057894,1828,23.484358,0.33172798,0.33172798,0.013484709,11,85.7,1167.574009180069,0.0
92.36599,0.8926511332392693,397407,443.6045126150203,1839,23.482832,0.28366196,0.28366196,0.01385197,11,88.425,1176.8257567882538,0.0
94.92204,0.921877883374691,400572,458.7511782196054,1851,23.479475,0.2897702,0.2897702,0.012779667,12,90.5,1186.0233993530273,0.0
98.047775,0.890874832868576,403620,476.209488580096,1862,23.47077,0.24962112,0.24962112,0.012462011,11,94.225,1195.2732198238373,0.0
93.84881,0.8232570290565491,406776,455.89282052123116,1874,23.457987,0.27036846,0.27036846,0.012406167,12,90.35,1204.5457525253296,0.0
91.68316,0.8975742906332016,409842,446.08153196828226,1886,23.456524,0.25221345,0.25221345,0.01219802,12,88.975,1213.7297081947327,0.0
92.23006,0.896291472017765,412869,447.902754707898,1897,23.451681,0.2652756,0.2652756,0.01251944,11,89.6,1222.9477336406708,0.0
94.142845,0.8296709954738617,415899,448.40170426183397,1908,23.443037,0.2613647,0.2613647,0.011881511,11,90.4,1232.1271414756775,0.0
92.46869,0.8565136790275574,418656,447.94132404849796,1918,23.435953,0.27337763,0.27337763,0.013078567,10,90.0,1241.3146386146545,0.0
