TimestepsSoFar,ev_tdlam_before,EpRewMean,entropy,surrgain,EpLenMean,entloss,TimeElapsed,optimgain,EpisodesSoFar,meankl,EpThisIter,EpTrueRewMean
267870,-0.0713268518447876,928.27814,3.9425907,0.039442837,965.775,0.0,308.14649510383606,0.039442837,203,0.008025266,1,991.7916456067462
270870,-0.035283565521240234,927.68884,3.937767,0.03619852,965.775,0.0,312.02229499816895,0.03619852,204,0.008260636,1,991.7952974872074
273870,-0.023466110229492188,926.8877,3.9481792,0.03138303,965.775,0.0,315.812611579895,0.03138303,205,0.009331213,1,991.6306195476438
276870,-0.014968514442443848,926.07697,3.9764633,0.041897472,965.775,0.0,319.5700521469116,0.041897472,206,0.008506173,1,991.4708247673174
279870,-0.008008003234863281,925.5741,3.9596632,0.03715636,965.775,0.0,323.3388249874115,0.03715636,207,0.008479834,1,991.3599563001266
282870,0.0005205869674682617,924.81067,3.956634,0.044648796,965.775,0.0,327.17255306243896,0.044648796,208,0.008224671,1,990.8488110496899
285870,-0.015233278274536133,924.5853,3.9792194,0.03552229,965.775,0.0,331.00516724586487,0.03552229,209,0.009296977,1,990.6794802985551
288870,-0.0005118846893310547,924.1375,3.9891071,0.03604333,965.775,0.0,334.79442501068115,0.03604333,210,0.008766357,1,990.4827002247009
291870,-0.008352041244506836,923.74756,3.9893801,0.035141714,965.775,0.0,338.5871229171753,0.035141714,211,0.0070857145,1,990.3657672368023
294870,0.008472263813018799,923.85547,3.994636,0.04383876,965.775,0.0,342.3249776363373,0.04383876,212,0.0070769694,1,990.353869575787
297870,-0.04229545593261719,922.72217,3.9713063,0.044343047,965.775,0.0,346.15685844421387,0.044343047,213,0.008647796,1,990.4311099512837
300870,-0.009807586669921875,922.0123,3.9690232,0.03853902,965.775,0.0,350.0666687488556,0.03853902,214,0.0071763033,1,990.4135647781928
303870,0.0007014870643615723,921.38983,4.0081477,0.034731112,965.775,0.0,353.8283245563507,0.034731112,215,0.0071321875,1,990.3256127021814
306870,-0.02722775936126709,920.9598,4.008674,0.044573605,965.775,0.0,357.664190530777,0.044573605,216,0.007074303,1,989.8520414719103
309870,-0.003754138946533203,921.1136,4.0163884,0.038362406,965.775,0.0,361.48166060447693,0.038362406,217,0.0086518135,1,989.3673368669573
312870,-0.03804624080657959,921.217,3.9864202,0.04446549,965.775,0.0,365.2383871078491,0.04446549,218,0.008416468,1,989.0980849826252
315870,-3.933906555175781e-06,920.71594,3.9895253,0.041074894,965.775,0.0,369.11709451675415,0.041074894,219,0.008688171,1,989.0853726346138
318870,0.0020921826362609863,919.87177,4.0220966,0.038676467,965.775,0.0,373.1957035064697,0.038676467,220,0.008564785,1,988.6811189814447
321870,-0.0005965232849121094,919.82196,4.051965,0.035648815,965.775,0.0,377.06503915786743,0.035648815,221,0.009113609,1,988.427884643004
324870,0.0015243291854858398,918.5355,4.0738297,0.037058566,965.775,0.0,380.8596088886261,0.037058566,222,0.0069312695,1,987.9348044079397
327870,0.017264902591705322,918.23,4.070656,0.044917803,965.775,0.0,384.7033805847168,0.044917803,223,0.0077849785,1,987.7261679277706
330870,0.0020253658294677734,918.1222,4.073936,0.04233583,965.775,0.0,388.51728987693787,0.04233583,224,0.008499792,1,987.3939067223404
333870,-0.009171605110168457,917.4647,4.085869,0.030030478,965.775,0.0,392.40544533729553,0.030030478,225,0.008998931,1,987.3034507709123
336870,-0.001337289810180664,917.1421,4.030707,0.03383442,965.775,0.0,396.2069993019104,0.03383442,226,0.008992109,1,987.3579066258262
339870,0.3440420627593994,917.73126,4.0063176,0.050054148,965.775,0.0,400.01713585853577,0.050054148,227,0.0073132124,1,987.1872213049003
342870,-0.0034161806106567383,917.4486,4.0239863,0.03287086,965.775,0.0,403.7863492965698,0.03287086,228,0.0068471236,1,987.0649416500746
345870,-0.0015943050384521484,916.9701,4.0240555,0.039028957,965.775,0.0,407.61059522628784,0.039028957,229,0.008359732,1,986.6889194170566
348870,-0.02139425277709961,916.529,3.998817,0.035889633,965.775,0.0,411.42858934402466,0.035889633,230,0.009260875,1,986.6030446718578
351870,-0.004124045372009277,916.7176,4.0385127,0.031488158,965.775,0.0,415.2513196468353,0.031488158,231,0.0075441673,1,986.8179029087871
357870,-0.0005189180374145508,917.0947,4.0431848,0.04348041,965.775,0.0,419.07942962646484,0.04348041,233,0.0075685508,2,986.5430252325219
360870,0.002925276756286621,917.18066,4.0428796,0.047088027,965.775,0.0,422.91002798080444,0.047088027,234,0.007785517,1,986.5805885579445
363870,-0.0006783008575439453,915.709,4.044767,0.049923614,965.775,0.0,426.76048851013184,0.049923614,235,0.008190836,1,986.5660212183138
366870,-0.0063169002532958984,914.6279,4.069206,0.041040003,965.775,0.0,430.5677080154419,0.041040003,236,0.007330417,1,986.5462263424386
369870,-0.012063741683959961,923.9889,4.113442,0.03452391,975.775,0.0,434.38317680358887,0.03452391,237,0.008447428,1,996.7474078978564
372870,-0.018501639366149902,936.0338,4.1218038,0.031594917,988.525,0.0,438.11328887939453,0.031594917,238,0.007713065,1,1010.0063184577235
375870,-0.0007408857345581055,935.44354,4.1419606,0.030189032,988.525,0.0,441.89167404174805,0.030189032,239,0.009334962,1,1009.8237242483526
378870,-4.279613494873047e-05,934.9964,4.1462936,0.040971685,988.525,0.0,445.7289505004883,0.040971685,240,0.009864621,1,1009.9897991863693
381870,-0.002819657325744629,937.3395,4.1699543,0.034498625,991.0,0.0,449.51024198532104,0.034498625,241,0.0070415586,1,1012.6751875851609
